fbgn,num_frags_ttest,manual_model_check,sum_frags_le05,ttest_minpval,num_frags_ttest_0_ratio2_F,num_frags_ttest_0_ratio2_M,num_frags_ttest_0_ratio2_U,num_frags_ttest_0_trend_F,num_frags_ttest_0_trend_M,num_frags_ttest_0_trend_U,num_frags_ttest_1_ratio2_F,num_frags_ttest_1_ratio2_M,num_frags_ttest_1_ratio2_U,num_frags_ttest_1_trend_F,num_frags_ttest_1_trend_M,num_frags_ttest_1_trend_U,num_k4_none,num_k4_fem,num_k4_male,num_k4_both,sum_fragments_k4,gene_k4,num_k27_fem,num_k27_none,num_k27_male,num_k27_both,sum_fragments_k27,gene_k27,num_rna_none,num_rna_both,num_rna_fem,num_rna_male,sum_fragments_rna_detected,gene_rna,num_frag_not_detected05,num_frag_detected05,flag_rna_detected05,symbol,chrom,start,end,strand,num_transcripts,flag_single_transcript,xsome,flag_4Y,flag_X,flag_Y,gene_ratio2_ttest,gene_trend_ttest,flag_any_k4,flag_has_male_k4,flag_has_female_k4,flag_male_limited_k4,flag_female_limited_k4,flag_sex_limited_k4,flag_any_k27,flag_has_male_k27,flag_has_female_k27,flag_male_limited_k27,flag_female_limited_k27,flag_sex_limited_k27,flag_expressed,flag_expressed_M,flag_expressed_F,flag_sex_limited,flag_male_limited,flag_female_limited,flag_low_express,flag_sex_biased,flag_U,flag_M,flag_MP,flag_F,flag_FP,flag_MF,flag_MFP
FBgn0012840,2.0,2.0,0.0,0.7424,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,2,unb,0,2,0,0,0,none,0,2,0,0,2,both,0,2,1,Dsim\Hsp83,Scf_3L,3090311,3094187,+,1,1,A,0,0,0,unbiased,unbiased,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0012844,8.0,0.0,6.0,0.0057,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,5.0,6.0,0.0,0.0,1,3,2,2,7,male_and_female_and_both,5,3,0,0,5,fem,0,8,0,0,8,both,2,6,1,Dsim\Mlc1,Scf_3R,22908081,22910895,-,2,0,A,0,0,0,female,female,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0
FBgn0012845,2.0,0.0,0.0,0.3284,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,2,unb,0,2,0,0,0,none,0,2,0,0,2,both,0,2,1,Dsim\MtnA,Scf_3R,15424505,15425152,+,1,1,A,0,0,0,unbiased,unbiased,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0012846,8.0,3.0,1.0,0.0284,0.0,0.0,7.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5,0,4,1,5,male_and_unb,0,8,2,0,2,male,2,8,0,0,8,both,5,5,1,Dsim\N,Scf_X,2802014,2837513,+,1,1,X,0,1,0,female,female,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0
FBgn0012849,3.0,0.0,1.0,0.0004,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,3,3,unb,0,3,0,0,0,none,0,3,0,0,3,both,1,2,1,Dsim\Pgd,Scf_X,1876930,1880293,+,1,1,X,0,1,0,ttestLowFC,male,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
FBgn0012851,18.0,0.0,8.0,0.0005,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,11,1,2,4,7,male_and_female_and_both,6,12,0,0,6,fem,0,18,0,0,18,both,2,16,1,Dsim\Rdl,Scf_3L,8912202,8946622,-,8,0,A,0,0,0,ttestLowFC,male,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
FBgn0012854,2.0,0.0,0.0,0.2896,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,2,fem_and_unb,0,2,0,0,0,none,0,2,0,0,2,both,0,2,1,Dsim\Sod,Scf_3L,10847594,10849035,-,1,1,A,0,0,0,unbiased,unbiased,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0012859,2.0,2.0,2.0,<.0001,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1,0,1,0,1,male,0,1,1,0,1,male,0,2,0,0,2,both,0,2,1,Dsim\Yp2,Scf_X,9471327,9472929,-,1,1,X,0,1,0,female,female,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0
FBgn0012860,6.0,0.0,5.0,<.0001,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,1,0,2,3,5,male_and_unb,1,5,0,0,1,fem,0,6,0,0,6,both,1,5,1,Dsim\Zw,Scf_X,18442564,18447654,+,3,0,X,0,1,0,ttestLowFC,male,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
FBgn0012864,,,,,,,,,,,,,,,,,6,0,0,0,0,none,1,0,0,5,6,fem_and_unb,6,0,0,0,0,none,6,0,0,Dsim\bcd,Scf_3R,2475592,2478956,-,4,0,A,0,0,0,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0012866,9.0,4.0,3.0,0.0057,1.0,1.0,4.0,4.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5,1,2,1,4,male_and_female_and_both,0,9,0,0,0,none,0,8,0,1,9,male_and_both,3,6,1,Dsim\ci,Scf_4,24480,31894,-,2,0,4,1,0,0,ttestLowFC,female,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
FBgn0012868,,,,,,,,,,,,,,,,,7,1,1,1,3,male_and_female_and_both,2,4,2,2,6,male_and_female_and_both,10,0,0,0,0,none,10,0,0,Dsim\dec-1,Scf_X,7315446,7321312,-,3,0,X,0,1,0,,,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0012892,,,,,,,,,,,,,,,,,2,0,0,0,0,none,0,0,0,2,2,both,2,0,0,0,0,none,2,0,0,Dsim\sala,Scf_2L,11139581,11140343,+,1,1,A,0,0,0,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0012893,,,,,,,,,,,,,,,,,1,0,1,0,1,male,1,0,0,1,2,fem_and_unb,2,0,0,0,0,none,2,0,0,Dsim\sc,Scf_X,217094,219217,+,1,1,X,0,1,0,,,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0012901,5.0,1.0,4.0,<.0001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0,0,0,6,6,unb,0,6,0,0,0,none,1,5,0,0,5,both,2,4,1,Dsim\tra,Scf_3L,16191222,16192243,-,2,0,A,0,0,0,ttestLowFC,male_and_female,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
FBgn0012902,2.0,1.0,1.0,0.0474,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,0,0,0,0,none,0,2,0,0,0,none,0,2,0,0,2,both,1,1,1,Dsim\w,Scf_X,2485327,2486272,-,1,1,X,0,1,0,ttestLowFC,female,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
FBgn0012903,1.0,0.0,0.0,0.2779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,none,1,0,0,1,2,fem_and_unb,1,0,1,0,1,fem,2,0,0,Dsim\y,Scf_X,178985,183216,+,1,1,X,0,1,0,,,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
FBgn0012904,3.0,0.0,1.0,0.0212,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,2,2,unb,0,3,0,0,0,none,0,3,0,0,3,both,0,3,1,Dsim\z,Scf_X,2156192,2158752,+,1,1,X,0,1,0,ttestLowFC,male,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
FBgn0013875,4.0,1.0,0.0,0.1744,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,1,2,male_and_unb,1,1,1,1,3,male_and_female_and_both,0,4,0,0,4,both,3,1,1,Dsim\Gld,Scf_3R,3000933,3014572,-,1,1,A,0,0,0,unbiased,unbiased,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0013883,3.0,1.0,1.0,0.0253,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,3,3,unb,0,3,0,0,0,none,0,3,0,0,3,both,0,3,1,Dsim\ref(2)P,Scf_2L,19036854,19039924,+,1,1,A,0,0,0,ttestLowFC,female,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
FBgn0013884,6.0,0.0,3.0,0.0009,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4,0,2,0,2,male,1,5,0,0,1,fem,0,6,0,0,6,both,0,6,1,Dsim\v,Scf_X,10264389,10266078,+,1,1,X,0,1,0,ttestLowFC,female,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
FBgn0014814,4.0,1.0,1.0,0.0266,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4,0,1,1,2,male_and_unb,0,4,2,0,2,male,2,3,0,1,4,male_and_both,4,2,1,Dsim\Dl,Scf_3R,6111388,6133420,+,1,1,A,0,0,0,ttestLowFC,female,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
FBgn0014820,1.0,1.0,0.0,0.3508,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,none,1,0,0,4,5,fem_and_unb,4,0,0,1,1,male,5,0,0,Dsim\Ubx,Scf_3R,8690770,8766923,+,1,1,A,0,0,0,unbiased,unbiased,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
FBgn0015169,8.0,1.0,0.0,0.0897,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,1,5,male_and_unb,0,6,2,0,2,male,0,8,0,0,8,both,6,2,1,Dsim\r,Scf_X,15637968,15651513,+,1,1,X,0,1,0,unbiased,unbiased,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0015670,5.0,2.0,2.0,0.0056,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0,1,1,3,5,male_and_female_and_both,0,5,0,0,0,none,0,5,0,0,5,both,1,4,1,Dsim\Top2,Scf_2L,18943166,18949228,-,1,1,A,0,0,0,ttestLowFC,male,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
FBgn0015673,4.0,2.0,1.0,0.0390,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,2,1,1,4,male_and_female_and_both,0,0,1,3,4,male_and_unb,0,4,0,0,4,both,1,3,1,Dsim\dpp,Scf_2L,2321707,2352943,+,1,1,A,0,0,0,ttestLowFC,female,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
FBgn0016334,5.0,1.0,0.0,0.1481,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,5,6,male_and_unb,0,6,0,0,0,none,1,5,0,0,5,both,1,5,1,Dsim\Ddc,Scf_2L,18633146,18636916,-,3,0,A,0,0,0,unbiased,unbiased,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0016340,2.0,1.0,0.0,0.4459,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,none,0,1,1,0,1,male,0,2,0,0,2,both,2,0,0,Dsim\Lsp1gamma,Scf_3L,45032,47534,+,1,1,A,0,0,0,unbiased,unbiased,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
FBgn0016343,9.0,2.0,4.0,<.0001,0.0,0.0,5.0,3.0,2.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,2,0,5,2,7,male_and_unb,0,9,0,0,0,none,0,9,0,0,9,both,1,8,1,Dsim\Sxl,Scf_X,6551829,6573063,-,1,1,X,0,1,0,female,male_and_female,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
FBgn0016346,3.0,1.0,0.0,0.2914,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,2,fem_and_unb,1,2,0,0,1,fem,0,3,0,0,3,both,0,3,1,Dsim\h,Scf_3L,8457751,8461469,+,1,1,A,0,0,0,unbiased,unbiased,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0016348,6.0,2.0,2.0,0.0102,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0,0,7,7,unb,0,7,0,0,0,none,1,6,0,0,6,both,4,3,1,Dsim\janA,Scf_3R,25210598,25211542,-,3,0,A,0,0,0,ttestLowFC,female,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
FBgn0016352,3.0,1.0,0.0,0.4136,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,none,0,2,0,3,3,both,2,3,0,0,3,both,5,0,0,Dsim\run,Scf_X,19285837,19289037,+,2,0,X,0,1,0,unbiased,unbiased,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
FBgn0016353,5.0,1.0,2.0,0.0090,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1,1,1,2,4,male_and_female_and_both,1,3,1,0,2,male_and_female,0,5,0,0,5,both,0,5,1,Dsim\ry,Scf_3R,12301115,12306665,-,1,1,A,0,0,0,ttestLowFC,female,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
FBgn0016355,2.0,2.0,0.0,0.4291,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,1,fem,0,0,1,3,4,male_and_unb,2,2,0,0,2,both,4,0,0,Dsim\twi,Scf_2R,19406656,19411179,+,2,0,A,0,0,0,unbiased,unbiased,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
FBgn0018225,14.0,1.0,7.0,0.0036,0.0,1.0,6.0,6.0,1.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,12,1,3,0,4,male_and_female,1,12,3,0,4,male_and_female,2,14,0,0,14,both,3,13,1,Dsim\up,Scf_X,12812997,12821937,-,22,0,X,0,1,0,ttestLowFC,female,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
FBgn0018281,10.0,3.0,2.0,0.0084,0.0,0.0,8.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,8,1,1,2,4,male_and_female_and_both,5,2,1,4,10,male_and_female_and_both,2,10,0,0,10,both,5,7,1,Dsim\ey,Scf_4,519562,545303,+,4,0,4,1,0,0,ttestLowFC,male,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
FBgn0018282,1.0,1.0,0.0,0.8608,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,none,1,3,0,0,1,fem,3,1,0,0,1,both,4,0,0,Dsim\dy,Scf_X,11033885,11042816,-,1,1,X,0,1,0,unbiased,unbiased,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
FBgn0018304,4.0,1.0,2.0,0.0092,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1,1,0,2,3,fem_and_unb,2,0,0,2,4,fem_and_unb,0,4,0,0,4,both,3,1,1,Dsim\amd,Scf_2L,18626826,18630775,+,2,0,A,0,0,0,ttestLowFC,female,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
FBgn0018327,5.0,0.0,3.0,0.0032,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0,0,0,5,5,unb,0,5,0,0,0,none,0,5,0,0,5,both,0,5,1,Dsim\Acph-1,Scf_3R,25165384,25167168,-,1,1,A,0,0,0,ttestLowFC,male,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
FBgn0020076,17.0,1.0,0.0,0.0730,0.0,0.0,17.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,2,2,5,male_and_female_and_both,7,7,4,0,11,male_and_female,1,17,0,0,17,both,3,15,1,Dsim\tim,Scf_2L,3353489,3367627,-,5,0,A,0,0,0,unbiased,unbiased,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0020078,6.0,2.0,0.0,0.4057,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,1,male,0,4,2,0,2,male,0,6,0,0,6,both,1,5,1,Dsim\boss,Scf_3R,21284548,21289700,+,1,1,A,0,0,0,unbiased,unbiased,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0020081,1.0,1.0,0.0,0.1620,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,unb,0,1,0,0,0,none,0,1,0,0,1,both,1,0,0,Dsim\Sry-alpha,Scf_3R,25213089,25215065,+,1,1,A,0,0,0,unbiased,unbiased,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
FBgn0020697,,,,,,,,,,,,,,,,,2,0,0,0,0,none,0,0,0,2,2,both,2,0,0,0,0,none,2,0,0,Dsim\ftz,Scf_3R,2583959,2585901,+,1,1,A,0,0,0,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0020700,5.0,2.0,1.0,0.0338,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,2,2,5,male_and_female_and_both,0,4,0,1,1,both,0,5,0,0,5,both,1,4,1,Dsim\Men,Scf_3R,12610339,12619675,+,2,0,A,0,0,0,ttestLowFC,female,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
FBgn0021123,13.0,5.0,0.0,0.1205,0.0,0.0,13.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,6,6,13,male_and_female_and_both,1,11,1,0,2,male_and_female,0,13,0,0,13,both,6,7,1,Dsim\Hex-C,Scf_2R,11776413,11781855,+,4,0,A,0,0,0,unbiased,unbiased,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0021128,1.0,1.0,0.0,0.7965,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,male,0,2,0,0,0,none,1,1,0,0,1,both,2,0,0,Dsim\Amyrel,Scf_2R,13210916,13212544,-,1,1,A,0,0,0,unbiased,unbiased,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
FBgn0021129,,,,,,,,,,,,,,,,,4,0,0,0,0,none,0,4,0,0,0,none,4,0,0,0,0,none,4,0,0,Dsim\Acp70A,Scf_3L,12996205,12996530,+,2,0,A,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0022481,1.0,0.0,0.0,0.0908,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,male,0,1,0,0,0,none,0,1,0,0,1,both,1,0,0,Dsim\Hsp70Ab,Scf_3R,13321053,13321673,-,1,1,A,0,0,0,unbiased,unbiased,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
