column_name	description
sim_gene_k4	"In D. simulans, the gene classification for H3K4me3 exon fragment presence: _'none' if sim_sum_fragments_k4==0, 'male_and_female_and_both' if sim_num_k4_both>0 & sim_num_k4_fem>0 & sim_num_k4_male>0, 'male_and_female"" if sim_num_k4_both==0 & sim_num_k4_fem>0 & sim_num_k4_male>0, 'male_and_unb' if sim_num_k4_both>0 & sim_num_k4_fem==0 & sim_num_k4_male>0, 'fem_and_unb' if sim_num_k4_both>0 & sim_num_k4_fem>0 & sim_num_k4_male==0, 'unb' if sim_num_k4_both>0 & sim_num_k4_fem==0 & sim_num_k4_male==0, 'male' if sim_num_k4_both==0 & num_k4_fem==0 & sim_num_k4_male>0, and 'fem' if sim_num_k4_both==0 & sim_num_k4_fem>0 & sim_num_k4_male==0"
sim_num_k27_fem	Number of D. simulans exon fragments with no H3K27me2me3 detected in either sex
sim_num_k27_none	Number of D. simulans exon fragments with H3K27me2me3 detected in both sexes
sim_num_k27_male	Number of D. simulans exon fragments with H3K27me2me3 detected in females
sim_num_k27_both	Number of D. simulans exon fragments with H3K27me2me3 detected in males
sim_sum_fragments_k27	Number of D. simulans exon fragments with H3K27me2me3 detected
sim_gene_k27	"In D. simulans, the gene classification for H3K27me2me3 exon fragment presence: _'none' if sim_sum_fragments_k27==0, 'male_and_female_and_both' if sim_num_k27_both>0 & sim_num_k27_fem>0 & sim_num_k27_male>0, 'male_and_female"" if sim_num_k27_both==0 & sim_num_k27_fem>0 & sim_num_k27_male>0, 'male_and_unb' if sim_num_k27_both>0 & sim_num_k27_fem==0 & sim_num_k27_male>0, 'fem_and_unb' if sim_num_k27_both>0 & sim_num_k27_fem>0 & sim_num_k27_male==0, 'unb' if sim_num_k27_both>0 & sim_num_k27_fem==0 & sim_num_k27_male==0, 'male' if sim_num_k27_both==0 & sim_num_k27_fem==0 & sim_num_k27_male>0, and 'fem' if sim_num_k27_both==0 & sim_num_k27_fem>0 & sim_num_k27_male==0"
sim_num_rna_none	Number of D. simulans exon fragments with expression detected in both sexes
sim_num_rna_both	Number of D. simulans exon fragments with no expression detected in either sex
sim_num_rna_fem	Number of D. simulans exon fragments with expression detected in males
sim_num_rna_male	Number of D. simulans exon fragments with expression detected in females
sim_sum_fragments_rna_detected	Number of D. simulans exon fragments with expression detected in either sex
sim_gene_rna	"In D. simulans, the gene classification for exon fragment expression detection: _'none' if sim_sum_fragments_rna_detected==0, 'male_and_female_and_both' if sim_num_rna_both>0 & sim_num_rna_fem>0 & sim_num_rna_male>0, 'male_and_female"" if sim_num_rna_both==0 & sim_num_rna_fem>0 & sim_num_rna_male>0, 'male_and_both' if sim_num_rna_both>0 & sim_num_rna_fem==0 & sim_num_rna_male>0, 'fem_and_both' if sim_num_rna_both>0 & sim_num_rna_fem>0 & sim_num_rna_male==0, 'both' if sim_num_rna_both>0 & sim_num_rna_fem==0 & sim_num_rna_male==0, 'male' if sim_num_rna_both==0 & sim_num_rna_fem==0 & sim_num_rna_male>0, and 'fem' if sim_num_rna_both==0 & sim_num_rna_fem>0 & sim_num_rna_male==0"
sim_num_frag_not_detected05	Number of D. simulans exon fragments with expression detected in either sex with an APN>5
sim_num_frag_detected05	Number of D. simulans exon fragments with expression detected in either sex with an APN<5
sim_flag_rna_detected05	1 if sim_num_frag_detected05 > 0
sim_num_transcripts	Number of transcripts in the D. simulans r2.02 reference annotation
sim_flag_single_transcript	1 if gene has a single transcript in the D. simulans r2.02 reference annotation
sim_xsome	Chromosomal location of D. simulans gene: X for X chromsome and A for autosomes (excluding chromosome 4)
sim_flag_4Y	1 if D. simulans gene is on chromosome 4 or the Y chromosome
sim_flag_X	1 if D. simulans gene is on the X chromosome
sim_flag_Y	1 if D. simulans gene is on the Y chromosome
gene_ratio2_ttest	"In D. melanogaster, the gene classification for significant DE with 2 fold change: 'male_and_female' if num_frags_ttest_1_ratio2_M>0 & num_frags_ttest_1_ratio2_F>0, 'male' if num_frags_ttest_1_ratio2_M>0 & num_frags_ttest_1_ratio2_F==0, 'female' if num_frags_ttest_1_ratio2_M==0 & num_frags_ttest_1_ratio2_F>0, 'ttestLowFC' if num_frags_ttest_1_ratio2_M==0 & num_frags_ttest_1_ratio2_F==0 & num_frags_ttest_1_ratio2_U>0, or 'unbiased' if num_frags_ttest_1_ratio2_M==0 & num_frags_ttest_1_ratio2_F==0 & num_frags_ttest_1_ratio2_U==0 & (num_frags_ttest_0_ratio2_M+num_frags_ttest_0_ratio2_F+num_frags_ttest_0_ratio2_U)>0"
gene_trend_ttest	"In D. melanogaster, the gene classification for significant DE: 'male_and_female' if num_frags_ttest_1_trend_M>0 & num_frags_ttest_1_trend_F>0, 'male' if num_frags_ttest_1_trend_M>0 & num_frags_ttest_1_trend_F==0, 'female' if num_frags_ttest_1_trend_M==0 & num_frags_ttest_1_trend_F>0, 'ttestLowFC' if num_frags_ttest_1_trend_M==0 & num_frags_ttest_1_trend_F==0 & num_frags_ttest_1_trend_U>0, or 'unbiased' if num_frags_ttest_1_trend_M==0 & num_frags_ttest_1_trend_F==0 & num_frags_ttest_1_trend_U==0 & (num_frags_ttest_0_trend_M+num_frags_ttest_0_trend_F+num_frags_ttest_0_trend_U)>0"
sim_gene_ratio2_ttest	"In D. simulans, the gene classification for significant DE with 2 fold change: 'male_and_female' if sim_num_frags_ttest_1_ratio2_M>0 & sim_num_frags_ttest_1_ratio2_F>0, 'male' if sim_num_frags_ttest_1_ratio2_M>0 & sim_num_frags_ttest_1_ratio2_F==0, 'female' if sim_num_frags_ttest_1_ratio2_M==0 & sim_num_frags_ttest_1_ratio2_F>0, 'ttestLowFC' if sim_num_frags_ttest_1_ratio2_M==0 & sim_num_frags_ttest_1_ratio2_F==0 & sim_num_frags_ttest_1_ratio2_U>0, or 'unbiased' if sim_num_frags_ttest_1_ratio2_M==0 & sim_num_frags_ttest_1_ratio2_F==0 & sim_num_frags_ttest_1_ratio2_U==0 & (sim_num_frags_ttest_0_ratio2_M+sim_num_frags_ttest_0_ratio2_F+sim_num_frags_ttest_0_ratio2_U)>0"
sim_gene_trend_ttest	"In D. simulans, the gene classification for significant DE: 'male_and_female' if sim_num_frags_ttest_1_trend_M>0 & sim_num_frags_ttest_1_trend_F>0, 'male' if sim_num_frags_ttest_1_trend_M>0 & sim_num_frags_ttest_1_trend_F==0, 'female' if sim_num_frags_ttest_1_trend_M==0 & sim_num_frags_ttest_1_trend_F>0, 'ttestLowFC' if sim_num_frags_ttest_1_trend_M==0 & sim_num_frags_ttest_1_trend_F==0 & sim_num_frags_ttest_1_trend_U>0, or 'unbiased' if sim_num_frags_ttest_1_trend_M==0 & sim_num_frags_ttest_1_trend_F==0 & sim_num_frags_ttest_1_trend_U==0 & (sim_num_frags_ttest_0_trend_M+sim_num_frags_ttest_0_trend_F+sim_num_frags_ttest_0_trend_U)>0"
flag_Newell2016_f_bias_input	"1 if gene is female-biased in D. melanogaster head for the Input of TRAP in Newell, et al. 2016"
flag_goldman2007_ds_tra_not_ds_dsx_fru	"1 if gene determined to be regulated by TRA, but not downstream of DSX or FRU-M in Goldman and Arbeitman 2007"
flag_dsxNullF_induced	"1 if gene is upregulated in dsx null females compared to control females (repressed by DSX-F) in Arbeitman, et al. 2016"
flag_dsxNullF_repressed	"1 if gene is downregulated in dsx null females compared to control females (induced by DSX-F) in Arbeitman, et al. 2016"
flag_dsxD_repressed	"1 if gene is downregulated in dsx mutant pseudomales compared to control females (repressed by DSX-M or induced by DSX-F) in Arbeitman, et al. 2016"
flag_Chang2011_f_biased	"1 if gene is female-biased in D. melanogaster head in Chang, et al. 2011 "
flag_Chang2011_m_biased	"1 if gene is male-biased in D. melanogaster head in Chang, et al. 2011 "
flag_Chang2011_sex_biased	"1 if gene is sex-biased in D. melanogaster head in Chang, et al. 2011 "
flag_Chang2011_ds_tra	"1 if gene is determined to be downstream of TRA in Chang, et al. 2011"
flag_Newell2016_mixed_bias_input	"1 if gene has male and female sex-biased exons in the head for the input of TRAP in Newell, et al. 2016"
flag_Fear2015_genes_added_to_sexdet	"1 if gene added to the sex determination pathway using structural equation modeling of females in Fear, et al. 2015"
flag_Newell2016_f_bias_TRAP	"1 if gene is female-biased in the fru-P1 expressing neurons of TRAP in Newell, et al. 2016"
flag_Newell2016_m_bias_input	"1 if gene is male-biased in D. melanogaster head for the input of TRAP in Newell, et al. 2016"
flag_sex_det_pathway	1 if gene is in the sex determination pathway
flag_mcintyre2006_sex_bias	"1 if gene has sex-biased splicing in D. melanogaster whole body in McIntyre, et al. 2006"
flag_luo2011_dsx_bs	"1 if gene has a dsx binding site in D. melanogaster whole body in Luo, et al. 2011"
flag_Newell2016_mixed_bias_TRAP	"1 if gene has male and female sex-biased exons in the fru-P1 expressng neurons of TRAP in Newell, et al. 2016"
flag_Newell2016_m_bias_TRAP	"1 if gene is male-biased in the fru-P1 expressing neurons of TRAP in Newell, et al. 2016"
flag_chang2011_tra_bs	"1 if gene has a tra binding site in Chang, et al. 2011"
flag_fruMC_overexp_male_repressed	"1 if gene is downregulated in males with FRU-MC isoform overexpressed in Dalton, et al. 2013"
flag_fruMC_overexp_female_repressed	"1 if gene is downregulated in females with FRU-MC isoform ectopically expressed in Dalton, et al. 2013"
flag_fruMC_overexp_male_induced	"1 if gene is upregulated in males with FRU-MC isoform overexpressed in Dalton, et al. 2013"
flag_fruMC_overexp_female_induced	"1 if gene is upregulated in females with FRU-MC isoform ectopically expressed in Dalton, et al. 2013"
flag_fruMA_overexp_male_repressed	"1 if gene is downregulated in males with FRU-MA isoform overexpressed in Dalton, et al. 2013"
flag_fruMA_overexp_female_repressed	"1 if gene is downregulated in females with FRU-MA isoform ectopically expressed in Dalton, et al. 2013"
flag_fruMA_overexp_male_induced	"1 if gene is upregulated in males with FRU-MA isoform overexpressed in Dalton, et al. 2013"
flag_fruMA_overexp_female_induced	"1 if gene is upregulated in females with FRU-MA isoform ectopically expressed in Dalton, et al. 2013"
flag_genes_with_fruM_bs	"1 if gene has fruM binding site in Dalton, et al. 2013"
flag_fruMB_overexp_male_repressed	"1 if gene is downregulated in males with FRU-MB isoform overexpressed in Dalton, et al. 2013"
flag_fruMB_overexp_female_repressed	"1 if gene is downregulated in females with FRU-MB isoform ectopically expressed in Dalton, et al. 2013"
flag_fruMB_overexp_male_induced	"1 if gene is upregulated in males with FRU-MB isoform overexpressed in Dalton, et al. 2013"
flag_fruMB_overexp_female_induced	"1 if gene is upregulated in females with FRU-MB isoform ectopically expressed in Dalton, et al. 2013"
flag_fruM_overexp_female_repressed	"1 if gene is downregulated in females with FRU-MA, FRU-MB, or FRU-MC isoforms ectopically expressed in Dalton, et al. 2013"
flag_fruM_overexp_male_induced	"1 if gene is upregulated in males with FRU-MA, FRU-MB, or FRU-MC isoform overexpressed in Dalton, et al. 2013"
flag_fruM_overexp_female_induced	"1 if gene is upregulated in females with FRU-MA, FRU-MB, or FRU-MC isoforms ectopically expressed in Dalton, et al. 2013"
flag_goldman2007_sex_bias	1 if gene is sex-biased in head tissue in Goldman and Arbeitman 2007
flag_goldman2007_ds_tra	1 if gene is determined to be downstream of TRA in Goldman and Arbeitman 2007
flag_dsxD_induced	"1 if gene is upregulated in dsx mutant pseudomales compared to control females (repressed by DSX-M or induced by DSX-F) in Arbeitman, et al. 2016"
flag_dsx_ctrl_m_bias	"1 if gene is male-biased in WT control D. melanogaster in Arbeitman, et al. 2016"
flag_dsx_ctrl_f_bias	"1 if gene is female-biased in WT control D. melanogaster in Arbeitman, et al. 2016"
flag_fruM_overexp_male_repressed	"1 if gene is downregulated in males with FRU-MA, FRU-MB, or FRU-MC isoform overexpressed in Dalton, et al. 2013"
flag_redfly_TF	1 if gene is annotated as a transcription factor in RedFly database as of 11/1/2020
flag_redfly_TF_target	1 if gene is annotated as a transcription factor target in RedFly database as of 11/1/2020
flag_graze2012_AI_hybrid_all_sim_bias	"1 if all exons of the gene found to be biased towards the D. simulans allele in D. melanogaster-D. simulans hybrids in Graze, et al. 2012"
flag_graze2012_AI_hybrid_partial_mel_bias	"1 if at least one (but not all) exon of the gene found to be biased towards the D. melanogaster allele in D. melanogaster-D. simulans hybrids in Graze, et al. 2012"
flag_graze2012_AI_hybrid_partial_sim_bias	"1 if at least one (but not all) exon of the gene found to be biased towards the D. simulans allele in D. melanogaster-D. simulans hybrids in Graze, et al. 2012"
flag_graze2012_AI_hybrid_any_mel_bias	"1 if at least one exon of the gene found to be biased towards the D. melanogaster allele in D. melanogaster-D. simulans hybrids in Graze, et al. 2012"
flag_palmateer2021_10-12dayMaleFruP1Consensus_H3K4me3	"1 if H3K4me3 detected in gene in 10-12 day old male fru-P1 expressing neurons (using consensus peak method) in Palmateer, et al. 2021"
flag_graze2012_AI_hybrid_all_mel_bias	"1 if all exons of the gene found to be biased towards the D. melanogaster allele in D. melanogaster-D. simulans hybrids in Graze, et al. 2012"
flag_graze2012_AI_hybrid_any_sim_bias	"1 if at least one exon of the gene found to be biased towards the D. simulans allele in D. melanogaster-D. simulans hybrids in Graze, et al. 2012"
flag_mel_MK_sig_0.05	"1 if gene has evidence of adaptive evolution (MK test p-value < 0.05) in Langely, et al. 2012 and Zhao and Begun 2017"
flag_mel_MK_sig_DoS_alpha_gt_0	"1 if gene has evidence of adaptive evolution and positive selection (MK test p-value < 0.05 and positive DoS) in Langely, et al. 2012 and Zhao and Begun 2017"
flag_mel_sim_hyd_moj_MK_sig_DoS_alpha_gt_0	"1 if gene has evidence of adaptive evolution and positive selection (MK test p-value < 0.05 and positive DoS) that is conserved in the mel-sim clade and hyd-moj clade in Langely, et al. 2012 and Zhao and Begun 2017"
flag_palmateer2021_10-12dayMaleFruP1Consensus_H3K27me3	"1 if H3K27me3 detected in gene in 10-12 day old male fru-P1 expressing neurons (using consensus peak method) in Palmateer, et al. 2021"
flag_palmateer2021_1-dayMaleElavConsensus_H3K4me3	"1 if H3K4me3 detected in gene in 1 day old male elav-expressing neurons (using consensus peak method) in Palmateer, et al. 2021"
flag_palmateer2021_1-dayMaleElavConsensus_H3K27me3	"1 if H3K27me3 detected in gene in 1 day old male elav-expressing neurons (using consensus peak method) in Palmateer, et al. 2021"
flag_palmateer2021_1-dayMaleFruP1Consensus_H3K4me3	"1 if H3K4me3 detected in gene in 1 day old male fru-P1 expressing neurons (using consensus peak method) in Palmateer, et al. 2021"
flag_palmateer2021_1-dayMaleFruP1Consensus_H3K27me3	"1 if H3K27me3 detected in gene in 1 day old male fru-P1 expressing neurons (using consensus peak method) in Palmateer, et al. 2021"
flag_palmateer2021_10-12dayFemaleFruP1Consensus_H3K4me3	"1 if H3K4me3 detected in gene in 10-12 day old female fru-P1 expressing neurons (using consensus peak method) in Palmateer, et al. 2021"
flag_palmateer2021_10-12dayFemaleFruP1Consensus_H3K27me3	"1 if H3K27me3 detected in gene in 10-12 day old female fru-P1 expressing neurons (using consensus peak method) in Palmateer, et al. 2021"
flag_palmateer2021_1-dayFemaleElavConsensus_H3K4me3	"1 if H3K4me3 detected in gene in 1 day old female elav-expressing neurons (using consensus peak method) in Palmateer, et al. 2021"
flag_palmateer2021_1-dayFemaleElavConsensus_H3K27me3	"1 if H3K27me3 detected in gene in 1 day old female elav-expressing neurons (using consensus peak method) in Palmateer, et al. 2021"
flag_palmateer2021_1-dayFemaleFruP1Consensus_H3K4me3	"1 if H3K4me3 detected in gene in 1 day old female fru-P1 expressing neurons (using consensus peak method) in Palmateer, et al. 2021"
flag_palmateer2021_1-dayFemaleFruP1Consensus_H3K27me3	"1 if H3K27me3 detected in gene in 1 day old female fru-P1 expressing neurons (using consensus peak method) in Palmateer, et al. 2021"
flag_palmateer2021_10-12dayMaleFruP1Pool_H3K4me3	"1 if H3K4me3 detected in gene in 10-12 day old male fru-P1 expressing neurons (using pool peak method) in Palmateer, et al. 2021"
flag_palmateer2021_10-12dayMaleFruP1Pool_H3K27me3	"1 if H3K27me3 detected in gene in 10-12 day old male fru-P1 expressing neurons (using pool peak method) in Palmateer, et al. 2021"
flag_palmateer2021_1-dayMaleElavPool_H3K4me3	"1 if H3K4me3 detected in gene in 1 day old male elav-expressing neurons (using pool peak method) in Palmateer, et al. 2021"
flag_palmateer2021_1-dayMaleElavPool_H3K27me3	"1 if H3K27me3 detected in gene in 1 day old male elav-expressing neurons (using pool peak method) in Palmateer, et al. 2021"
flag_palmateer2021_1-dayMaleFruP1Pool_H3K4me3	"1 if H3K4me3 detected in gene in 1 day old male fru-P1 expressing neurons (using pool peak method) in Palmateer, et al. 2021"
flag_palmateer2021_1-dayMaleFruP1Pool_H3K27me3	"1 if H3K27me3 detected in gene in 1 day old male fru-P1 expressing neurons (using pool peak method) in Palmateer, et al. 2021"
flag_palmateer2021_10-12dayFemaleFruP1Pool_H3K4me3	"1 if H3K4me3 detected in gene in 10-12 day old female fru-P1 expressing neurons (using pool peak method) in Palmateer, et al. 2021"
flag_palmateer2021_10-12dayFemaleFruP1Pool_H3K27me3	"1 if H3K27me3 detected in gene in 10-12 day old female fru-P1 expressing neurons (using pool peak method) in Palmateer, et al. 2021"
flag_palmateer2021_1-dayFemaleElavPool_H3K4me3	"1 if H3K4me3 detected in gene in 1 day old female elav-expressing neurons (using pool peak method) in Palmateer, et al. 2021"
