mel_geneID,mel_geneSymbol,mel_chrom,mel_start,mel_end,mel_strand,sim_geneID,sim_geneSymbol,sim_chrom,sim_start,sim_end,sim_strand,orthoDB_groupID,num_mel_geneID_2_sim_geneID,num_sim_geneID_2_mel_geneID,flag_one2one_ortholog
FBgn0000044,Act57B,2R,20944021,20946431,+,FBgn0183289,GD11548,Scf_2R,17344176,17346477,+,EOG091909BS,3,4,0
FBgn0000046,Act87E,3R,13425983,13428375,+,FBgn0012823,Act88F,Scf_3R,9961336,9963180,-,EOG091909BS,3,4,0
FBgn0000046,Act87E,3R,13425983,13428375,+,FBgn0186687,GD15015,Scf_3L,21392076,21394010,+,EOG091909BS,3,4,0
FBgn0000046,Act87E,3R,13425983,13428375,+,FBgn0190420,GD18909,Scf_3R,11925726,11927910,-,EOG091909BS,3,4,0
FBgn0000046,Act87E,3R,13425983,13428375,+,FBgn0183289,GD11548,Scf_2R,17344176,17346477,+,EOG091909BS,3,4,0
FBgn0000047,Act88F,3R,15439969,15442177,+,FBgn0012823,Act88F,Scf_3R,9961336,9963180,-,EOG091909BS,3,4,0
FBgn0000047,Act88F,3R,15439969,15442177,+,FBgn0186687,GD15015,Scf_3L,21392076,21394010,+,EOG091909BS,3,4,0
FBgn0000047,Act88F,3R,15439969,15442177,+,FBgn0190420,GD18909,Scf_3R,11925726,11927910,-,EOG091909BS,3,4,0
FBgn0000047,Act88F,3R,15439969,15442177,+,FBgn0183289,GD11548,Scf_2R,17344176,17346477,+,EOG091909BS,3,4,0
FBgn0000052,ade2,2L,6041181,6046050,-,FBgn0194006,GD22605,Scf_2L,5836550,5841380,-,EOG0919012M,1,1,1
FBgn0000053,ade3,2L,7014623,7023898,-,FBgn0193920,GD22518,Scf_2L,6776908,6785783,-,EOG0919017N,1,1,1
FBgn0000055,Adh,2L,14615552,14618902,+,FBgn0012824,Adh,Scf_2L,14154545,14156368,+,EOG09190EAD,1,1,1
FBgn0000056,Adhr,2L,14615552,14618902,+,FBgn0012825,Adhr,Scf_2L,14154547,14157850,+,EOG09190DA4,1,1,1
FBgn0000057,adp,2R,18151704,18154060,+,FBgn0183092,GD11343,Scf_2R,14675129,14677572,+,EOG091903QN,1,1,1
FBgn0000061,al,2L,378112,387439,+,FBgn0194411,GD23020,Scf_2L,350597,360236,+,EOG09190BSX,1,1,1
FBgn0000063,Mps1,3R,17671271,17673828,+,FBgn0190685,GD19180,Scf_3R,7768004,7771101,-,EOG0919051W,1,1,1
FBgn0000064,Ald,3R,26254069,26261591,-,FBgn0189683,GD18141,Scf_3R,21564317,21571420,-,EOG09190AKG,1,1,1
FBgn0000071,Ama,3R,6762593,6765261,+,FBgn0046919,Ama,Scf_3R,2480201,2484535,+,EOG09190BE6,1,1,1
FBgn0000075,amd,2L,19110154,19114110,+,FBgn0018304,amd,Scf_2L,18626826,18630775,+,EOG091906PN,1,1,1
FBgn0000077,amx,X,9245915,9247336,-,FBgn0195895,GD24561,Scf_X,8674558,8675936,-,EOG09190E7H,1,1,1
FBgn0000083,AnxB9,3R,21065241,21070917,+,FBgn0190894,GD19393,Scf_3R,4406486,4412215,-,EOG09190BXN,1,1,1
FBgn0000084,AnxB10,X,20171445,20173514,-,FBgn0194323,GD22929,Scf_X,18889470,18891359,-,EOG09190BTV,1,1,1
FBgn0000092,CG2650,X,2692732,2693886,-,FBgn0063996,GD24605,Scf_X,2388846,2390042,-,EOG09190E1B,1,1,1
FBgn0000094,Anp,3R,30209948,30210382,+,FBgn0025411,Anp,Scf_3R,25380944,25381317,+,EOG09190L1J,1,1,1
FBgn0000097,aop,2L,2156484,2178754,-,FBgn0194265,GD22871,Scf_2L,2050669,2072218,-,EOG091905CC,1,1,1
FBgn0000100,RpLP0,3L,22075867,22077487,+,FBgn0186691,GD15019,Scf_3L,21485415,21486956,+,EOG09190CXB,1,1,1
FBgn0000108,Appl,X,530501,579044,+,FBgn0188117,GD16511,Scf_X,344708,383407,+,EOG091903KP,1,1,1
FBgn0000109,Aprt,3L,1883795,1885019,-,FBgn0185140,GD13427,Scf_3L,1793294,1794420,-,EOG09190HEI,1,1,1
FBgn0000114,bru1,2L,12175004,12313438,+,FBgn0195198,GD23828,Scf_2L,11827379,11928004,+,EOG091907LZ,1,1,1
FBgn0000115,Arl1,3L,15983135,15984362,+,FBgn0186266,GD14586,Scf_3L,15594724,15596282,+,EOG09190GH6,1,1,1
FBgn0000116,Argk,3L,9048781,9066027,-,FBgn0270458,GD29168,Scf_3L,8826243,8843316,-,EOG091907J8,1,1,1
FBgn0000117,arm,X,1891401,1900646,-,FBgn0188022,GD16405,Scf_X,1642944,1652221,-,EOG091902HS,1,1,1
FBgn0000119,arr,2R,13453640,13483229,-,FBgn0197040,GD25759,Scf_2R,10004326,10034154,-,EOG091900D7,1,1,1
FBgn0000120,Arr1,2L,18078269,18081307,+,FBgn0195482,GD24126,Scf_2L,17584534,17586679,+,EOG09190AIU,1,1,1
FBgn0000121,Arr2,3L,8647261,8648936,-,FBgn0184693,GD12969,Scf_3L,8429598,8431271,-,EOG091909KO,1,1,1
FBgn0000137,ase,X,460747,463176,+,FBgn0188111,GD16504,Scf_X,276877,278769,+,EOG091909TX,1,1,1
FBgn0000139,ash2,3R,24650125,24653376,+,FBgn0192569,GD21115,Scf_ICT21,9541,11499,-,EOG091904RZ,1,1,1
FBgn0000140,asp,3R,24753849,24760513,+,FBgn0192578,GD21126,Scf_3R,20094573,20101158,+,EOG091900AB,1,1,1
FBgn0000146,aub,2L,10997819,11001476,-,FBgn0193614,GD22205,Scf_2L,10655092,10658816,-,EOG091902GS,1,1,1
FBgn0000147,aurA,3R,11963124,11964826,+,FBgn0190309,GD18792,Scf_3R,13317106,13318820,-,EOG09190965,1,1,1
FBgn0000150,awd,3R,31745172,31746077,-,FBgn0187960,GD16337,Scf_3R,26846380,26847282,-,EOG09190GPG,1,1,1
FBgn0000152,Axs,X,16680089,16683895,-,FBgn0187395,GD15734,Scf_X,15662507,15666313,-,EOG091904YN,1,1,1
FBgn0000153,b,2L,13821248,13823979,+,FBgn0195294,GD23928,Scf_2L,13368761,13371383,+,EOG0919051E,1,1,1
FBgn0000157,Dll,2R,24814822,24835667,+,FBgn0183640,GD11901,Scf_2R,21120007,21139393,+,EOG09190DP7,1,1,1
FBgn0000158,bam,3R,25243039,25245057,-,FBgn0084466,bam,Scf_3R,20577834,20579860,-,EOG091909YQ,1,1,1
FBgn0000163,baz,X,17160006,17200728,+,FBgn0188891,GD17331,Scf_X,16159281,16195147,+,EOG0919020L,1,1,1
FBgn0000166,bcd,3R,6755842,6759466,-,FBgn0012864,bcd,Scf_3R,2475592,2478956,-,EOG09190CD2,1,1,1
FBgn0000173,ben,X,13996345,13999805,+,FBgn0188718,GD17149,Scf_X,13134064,13137340,+,EOG09190HH0,1,1,1
FBgn0000179,bi,X,4412856,4485647,+,FBgn0188280,GD16691,Scf_X,4014436,4071011,+,EOG0919081I,1,1,1
FBgn0000180,bib,2L,9984645,9995538,+,FBgn0195024,GD23647,Scf_2L,9675198,9686428,+,EOG0919074R,1,1,1
FBgn0000181,bic,2R,12870249,12871794,+,FBgn0182687,GD10924,Scf_2R,9434763,9436341,+,EOG09190I9P,1,1,1
FBgn0000182,BicC,2L,16042047,16048757,+,FBgn0195395,GD24037,Scf_2L,15580954,15587459,+,EOG091904JQ,1,1,1
FBgn0000183,BicD,2L,17459605,17473215,-,FBgn0193286,GD21867,Scf_2L,16981190,16993791,-,EOG091903IV,1,1,1
FBgn0000206,boss,3R,25961994,25966948,+,FBgn0020078,boss,Scf_3R,21284548,21289700,+,EOG091903LT,1,1,1
FBgn0000212,brm,3L,15970082,15982869,-,FBgn0184253,GD12525,Scf_3L,15581706,15594502,-,EOG091900U7,1,1,1
FBgn0000216,Brd,3L,14972667,14973198,+,FBgn0186193,GD14511,Scf_3L,14606145,14606662,+,EOG09190KHM,1,1,1
FBgn0000221,brn,X,4104342,4105791,+,FBgn0188259,GD16669,Scf_X,3685013,3686450,+,EOG09190BPL,1,1,1
FBgn0000227,Bsg25A,2L,4683052,4684461,-,FBgn0194094,GD22697,Scf_2L,4503576,4504854,-,EOG09190BDR,1,1,1
FBgn0000228,Bsg25D,2L,5271728,5278548,-,FBgn0194056,GD22658,Scf_2L,5079777,5086560,-,EOG091902HU,1,1,1
FBgn0000229,bsk,2L,10247502,10250501,-,FBgn0193697,GD22289,Scf_2L,9925143,9928204,-,EOG091909O5,1,1,1
FBgn0000233,btd,X,9694186,9697558,+,FBgn0188541,GD16963,Scf_X,9121937,9125270,+,EOG09190F5Z,1,1,1
FBgn0000239,bur,2L,21174182,21179683,-,FBgn0193069,GD21646,Scf_2L,20568903,20574472,-,EOG091903B3,1,1,1
FBgn0000241,bw,2R,23527805,23538499,-,FBgn0196351,GD25039,Scf_2R,19889068,19891795,-,EOG091903ZH,1,1,1
FBgn0000244,by,3R,9528238,9533011,-,FBgn0192253,GD20789,Scf_3R,15667961,15672837,+,EOG091905P7,1,1,1
FBgn0000246,c(3)G,3R,15789473,15792579,-,FBgn0191803,GD20329,Scf_3R,9617691,9631197,+,EOG0919042J,1,1,1
FBgn0000247,ca,3R,29806811,29815047,+,FBgn0192904,GD21470,Scf_3R,24987160,24995290,+,EOG091900DN,1,1,1
FBgn0000250,cact,2L,16313036,16326207,-,FBgn0067503,cact,Scf_2L,15838988,15851833,-,EOG091907K1,1,1,1
FBgn0000251,cad,2L,20770731,20783135,+,FBgn0195628,GD24280,Scf_2L,20183312,20195153,+,EOG09190DGI,1,1,1
FBgn0000253,Cam,2R,12259398,12278809,+,FBgn0182612,GD10849,Scf_2R,8853558,8870614,+,EOG09190HQF,1,1,1
FBgn0000256,capu,2L,3872646,3902860,-,FBgn0194121,GD22724,Scf_2L,3724674,3754808,-,EOG091901CK,1,1,1
FBgn0000257,car,X,19566019,19569401,+,FBgn0189001,GD17447,Scf_X,18337996,18341243,+,EOG091906LZ,1,1,1
FBgn0000259,CkIIbeta,X,11792533,11801587,+,FBgn0188623,GD17050,Scf_X,11055143,11063991,+,EOG09190EJF,1,1,1
FBgn0000261,Cat,3L,18822604,18828188,+,FBgn0022505,Cat,Scf_3L,18333337,18338871,+,EOG091905IK,1,1,1
FBgn0000273,Pka-C1,2L,9682315,9699297,-,FBgn0193752,GD22345,Scf_2L,9367082,9380424,-,EOG091909ZG,1,1,1
FBgn0000274,Pka-C2,3R,30695537,30697138,-,FBgn0188462,GD16880,Scf_3R,25833392,25835093,-,EOG091909YR,1,1,1
FBgn0000276,CecA1,3R,30210874,30211273,+,FBgn0046915,CecC,Scf_3R,25387017,25387592,+,EOG09190KWR,3,2,0
FBgn0000276,CecA1,3R,30210874,30211273,+,FBgn0025039,CecA1,Scf_3R,25381827,25382260,+,EOG09190KWR,3,2,0
FBgn0000277,CecA2,3R,30212156,30212568,+,FBgn0046915,CecC,Scf_3R,25387017,25387592,+,EOG09190KWR,3,2,0
FBgn0000277,CecA2,3R,30212156,30212568,+,FBgn0025039,CecA1,Scf_3R,25381827,25382260,+,EOG09190KWR,3,2,0
FBgn0000278,CecB,3R,30213315,30213797,-,FBgn0025038,CecB,Scf_3R,25384012,25384627,-,EOG09190KX2,1,1,1
FBgn0000279,CecC,3R,30216484,30216938,+,FBgn0046915,CecC,Scf_3R,25387017,25387592,+,EOG09190KWR,3,2,0
FBgn0000279,CecC,3R,30216484,30216938,+,FBgn0025039,CecA1,Scf_3R,25381827,25382260,+,EOG09190KWR,3,2,0
FBgn0000283,Cp190,3R,15270432,15275241,-,FBgn0041670,Cen190,Scf_3R,10127844,10132619,+,EOG09190293,1,1,1
FBgn0000286,Cf2,2L,4876891,4883107,-,FBgn0194080,GD22683,Scf_2L,4697645,4703228,-,EOG091907M5,1,1,1
FBgn0000287,salr,2L,11358873,11373636,+,FBgn0195148,GD23776,Scf_2L,11010705,11025511,+,EOG091901QL,1,1,1
FBgn0000289,cg,2R,14173693,14182838,+,FBgn0182788,GD11028,Scf_2R,10768144,10776729,+,EOG091902PF,1,1,1
FBgn0000299,Col4a1,2L,5029609,5037279,+,FBgn0194704,GD23318,Scf_2L,4842741,4850289,+,EOG091900J6,1,1,1
FBgn0000303,ChAT,3R,18705501,18732344,+,FBgn0190751,GD19246,Scf_3R,6700843,6725397,-,EOG091903J8,1,1,1
FBgn0000307,chif,2L,16342430,16352628,-,FBgn0193330,GD21913,Scf_2L,15868568,15878207,-,EOG091900RO,1,1,1
FBgn0000308,chic,2L,5972115,5981018,-,FBgn0083419,chic,Scf_2L,5768795,5776702,-,EOG09190IFD,1,1,1
FBgn0000316,cin,X,255674,258469,+,FBgn0188107,GD16497,Scf_X,87074,89797,+,EOG091904BR,1,1,1
FBgn0000317,ck,2L,15044963,15057862,-,FBgn0193388,GD21973,Scf_2L,14557858,14570657,-,EOG09190067,1,1,1
FBgn0000318,cl,2L,5520135,5521382,+,FBgn0194731,GD23345,Scf_2L,5325079,5326327,+,EOG09190I8P,1,1,1
FBgn0000319,Chc,X,15827986,15835490,-,FBgn0187434,GD15774,Scf_X,14884550,14892011,-,EOG091900DZ,1,1,1
FBgn0000320,eya,2L,6527447,6546976,-,FBgn0193969,GD22568,Scf_2L,6300825,6320367,-,EOG091905V3,1,1,1
FBgn0000326,clt,2R,21617061,21619079,-,FBgn0196495,GD25183,Scf_2R,18014154,18016298,-,EOG0919070Q,1,1,1
FBgn0000330,cm,X,7009006,7011145,-,FBgn0187799,GD16169,Scf_X,6492530,6494369,-,EOG0919088G,1,1,1
FBgn0000337,cn,2R,7782797,7785067,-,FBgn0186970,GD15302,Scf_2R,4511948,4513995,-,EOG091909EQ,1,1,1
FBgn0000339,cni,2L,16309292,16310726,-,FBgn0193337,GD21921,Scf_2L,15835463,15836600,-,EOG09190I52,1,1,1
FBgn0000346,comt,X,13259021,13262488,+,FBgn0188680,GD17110,Scf_X,12485421,12488681,+,EOG091902XK,1,1,1
FBgn0000351,cort,2L,6674682,6676635,-,FBgn0193955,GD22554,Scf_2L,6448267,6450285,-,EOG0919062O,1,1,1
FBgn0000352,cos,2R,7382176,7387115,-,FBgn0182039,GD10265,Scf_2R,4096730,4101564,-,EOG091901C2,1,1,1
FBgn0000355,Cp15,3L,8728481,8729066,+,FBgn0185813,GD14122,Scf_3L,8510944,8511589,+,EOG09190KDU,1,1,1
FBgn0000356,Cp16,3L,8731944,8732599,+,FBgn0083437,Cp16,Scf_3L,8514407,8515145,+,EOG09190JLX,1,1,1
FBgn0000358,Cp19,3L,8729865,8730604,+,FBgn0185814,GD14123,Scf_3L,8512251,8513044,+,EOG09190I9X,1,1,1
FBgn0000359,Cp36,X,8479319,8480523,+,FBgn0188485,GD16904,Scf_X,7932247,7933279,+,EOG09190EFE,1,1,1
FBgn0000360,Cp38,X,8481837,8483311,+,FBgn0269669,GD28379,Scf_X,7934738,7936149,+,EOG09190JBV,1,1,1
FBgn0000370,crc,2L,21310866,21319527,+,FBgn0195663,GD24316,Scf_2L,20714139,20722637,+,EOG09190C05,1,1,1
FBgn0000376,crm,X,2734248,2738773,-,FBgn0041270,crm,Scf_X,2430659,2434971,-,EOG091905EQ,1,1,1
FBgn0000377,crn,X,2247594,2249983,-,FBgn0195941,GD24613,Scf_X,1979042,1981610,-,EOG091903V3,1,1,1
FBgn0000382,csw,X,2094234,2115701,+,FBgn0196052,GD24731,Scf_X,1838773,1848664,+,EOG091904PU,1,1,1
FBgn0000384,cta,2L,22981816,22992951,+,FBgn0189221,GD17672,Scf_2L,23074900,23117518,+,EOG091909HG,1,1,1
FBgn0000392,cup,2L,6663664,6674780,+,FBgn0194809,GD23426,Scf_2L,6437332,6448359,+,EOG091901T9,1,1,1
FBgn0000394,cv,X,5690002,5693084,+,FBgn0188332,GD16744,Scf_X,5217949,5220971,+,EOG09190CQD,1,1,1
FBgn0000395,cv-2,2R,21355015,21379464,-,FBgn0196513,GD25201,Scf_2R,17752068,17776719,-,EOG091902M2,1,1,1
FBgn0000404,CycA,3L,11826719,11833578,-,FBgn0184498,GD12771,Scf_3L,11521960,11528410,-,EOG091906FE,1,1,1
FBgn0000405,CycB,2R,22803521,22806948,-,FBgn0187170,GD15503,Scf_2R,19175054,19178611,-,EOG091905ZW,1,1,1
FBgn0000406,Cyt-b5-r,2L,16788774,16790721,-,FBgn0193313,GD21896,Scf_2L,16316681,16318538,-,EOG091907G5,1,1,1
FBgn0000411,D,3L,14175610,14178620,-,FBgn0184354,GD12627,Scf_3L,13841289,13844166,-,EOG09190EET,1,1,1
FBgn0000412,D1,3R,9238083,9240654,-,FBgn0269640,GD28350,Scf_3R,15948035,15949852,+,EOG09190DRW,1,1,1
FBgn0000414,Dab,3L,16712126,16724575,+,FBgn0186334,GD14655,Scf_3L,16296897,16307713,+,EOG091900CX,1,1,1
FBgn0000416,Sap-r,3R,30883464,30889062,-,FBgn0083425,Sap-r,Scf_3R,26020030,26025684,-,EOG091902A3,1,1,1
FBgn0000422,Ddc,2L,19116483,19120306,-,FBgn0016334,Ddc,Scf_2L,18633146,18636916,-,EOG091905YV,1,1,1
FBgn0000426,SmF,2R,12183844,12184310,-,FBgn0186911,GD15243,Scf_2R,8776208,8776662,-,EOG09190K9C,1,1,1
FBgn0000427,dec-1,X,7867161,7873222,-,FBgn0012868,dec-1,Scf_X,7315446,7321312,-,EOG091902QZ,1,1,1
FBgn0000439,Dfd,3R,6791836,6802428,+,FBgn0191381,GD19895,Scf_3R,2511784,2522496,+,EOG09190A7K,1,1,1
FBgn0000442,Pkg21D,2L,786153,790798,-,FBgn0194336,GD22942,Scf_2L,748646,753305,-,EOG091903CV,1,1,1
FBgn0000447,Dhod,3R,8651391,8652916,-,FBgn0192317,GD20856,Scf_3R,16510975,16512543,+,EOG091909CG,1,1,1
FBgn0000448,Hr3,2R,10203995,10237348,-,FBgn0197277,GD26001,Scf_2R,6862915,6892882,-,EOG091904YD,1,1,1
FBgn0000449,dib,3L,4062292,4064551,+,FBgn0185507,GD13808,Scf_3L,4022769,4025421,+,EOG0919074C,1,1,1
FBgn0000451,ect,3L,10190276,10201837,-,FBgn0184594,GD12869,Scf_3L,9927963,9939521,-,EOG09190DFV,1,1,1
FBgn0000454,Dip-B,3R,13782288,13785676,+,FBgn0190445,GD18934,Scf_3R,11567349,11570717,-,EOG09190745,1,1,1
FBgn0000455,Dip-C,3R,12411809,12413759,-,FBgn0192038,GD20570,Scf_3R,12875377,12877325,+,EOG0919065I,1,1,1
FBgn0000459,disco,X,16210598,16216750,-,FBgn0270117,GD28827,Scf_X,15220687,15226050,-,EOG09190FHD,1,1,1
FBgn0000463,Dl,3R,19302731,19326217,-,FBgn0014814,Dl,Scf_3R,6111388,6133420,+,EOG091902GI,1,1,1
FBgn0000464,Lar,2L,19586623,19732069,+,FBgn0195579,GD24230,Scf_2L,19082392,19195263,+,EOG0919006U,1,1,1
FBgn0000473,Cyp6a2,2R,6779749,6781491,-,FBgn0068665,Cyp6a26,Scf_2R,3531988,3533771,-,EOG091905TB,1,1,1
FBgn0000477,DNaseII,3R,18019375,18021161,+,FBgn0190699,GD19194,Scf_3R,7423867,7425679,-,EOG091909ES,1,1,1
FBgn0000479,dnc,X,3176440,3343767,+,FBgn0188231,GD16638,Scf_X,2893768,2988738,+,EOG091903LP,1,1,1
FBgn0000482,dor,X,1665052,1668451,+,FBgn0085986,dor,Scf_X,1426233,1429633,+,EOG091902FX,1,1,1
FBgn0000489,Pka-C3,3L,15925805,15954797,-,FBgn0184257,GD12529,Scf_3L,15546408,15566433,-,EOG091907JW,1,1,1
FBgn0000490,dpp,2L,2428372,2459823,+,FBgn0015673,dpp,Scf_2L,2321707,2352943,+,EOG091906G3,1,1,1
FBgn0000492,Dr,3R,29556386,29565244,+,FBgn0192875,GD21441,Scf_3R,24741773,24750525,+,EOG09190DKC,1,1,1
FBgn0000499,dsh,X,11355881,11358724,+,FBgn0270641,GD29351,Scf_X,10663338,10666184,+,EOG091907MD,1,1,1
FBgn0000500,Dsk,3R,4189692,4190260,-,FBgn0191192,Dsk,Scf_3R,15971,16553,-,EOG09190ICG,1,1,1
FBgn0000504,dsx,3R,7924323,7967408,-,FBgn0190947,GD19448,Scf_3R,3638404,3681783,-,EOG09190HIG,1,1,1
FBgn0000520,dwg,X,2727698,2730042,+,FBgn0188214,GD16618,Scf_X,2423925,2426552,+,EOG0919075P,1,1,1
FBgn0000524,dx,X,6533999,6538575,+,FBgn0188389,GD16802,Scf_X,6031113,6035123,+,EOG091904XA,1,1,1
FBgn0000527,e,3R,21229839,21237177,-,FBgn0262091,e,Scf_3R,4245585,4252938,+,EOG0919021W,1,1,1
FBgn0000529,bsh,2L,19765776,19769067,-,FBgn0193156,GD21734,Scf_2L,19224326,19227595,-,EOG09190GUL,1,1,1
FBgn0000533,ea,3R,15328729,15330408,+,FBgn0190519,GD19011,Scf_3R,10072798,10074502,-,EOG091909CM,1,1,1
FBgn0000535,eag,X,14955477,15009989,+,FBgn0188749,GD17183,Scf_X,14010758,14064438,+,EOG091901UC,1,1,1
FBgn0000536,eas,X,16278328,16285618,+,FBgn0196149,GD24830,Scf_X,15280708,15287965,+,EOG091907FJ,1,1,1
FBgn0000541,E(bx),3L,233926,246912,-,FBgn0185240,GD13529,Scf_3L,204366,216994,-,EOG0919009G,1,1,1
FBgn0000542,ec,X,3811698,3857621,+,FBgn0068632,GD16657,Scf_X,3403580,3449687,+,EOG091900ZY,1,1,1
FBgn0000543,ecd,3L,2263581,2265857,-,FBgn0185114,GD13400,Scf_3L,2161259,2163531,-,EOG09190428,1,1,1
FBgn0000546,EcR,2R,6087873,6169087,-,FBgn0182106,GD10334,Scf_2R,2981058,3019889,-,EOG09190507,1,1,1
FBgn0000547,ed,2L,4031377,4115749,+,FBgn0194656,GD23268,Scf_2L,3884308,3964882,+,EOG091900RH,1,1,1
FBgn0000551,Edg78E,3L,21296763,21297803,-,FBgn0183863,GD12126,Scf_3L,20732085,20733085,-,EOG09190IY1,1,1,1
FBgn0000552,Edg84A,3R,6684445,6685157,+,FBgn0191375,GD19888,Scf_3R,2406851,2407592,+,EOG09190IF7,1,1,1
FBgn0000557,eEF1alpha2,3R,31738468,31743306,+,FBgn0193023,GD21598,Scf_3R,26839678,26844523,+,EOG091906VL,1,1,1
FBgn0000559,eEF2,2L,21677913,21682164,-,FBgn0193055,GD21631,Scf_2L,20913915,20918008,-,EOG091902BZ,1,1,1
FBgn0000560,eg,3L,21808703,21817600,+,FBgn0186673,GD15001,Scf_3L,21215710,21224953,+,EOG09190APN,1,1,1
FBgn0000562,egl,2R,23734904,23746829,-,FBgn0196332,GD25020,Scf_2R,20086409,20098235,-,EOG0919021H,1,1,1
FBgn0000564,Eh,3R,17446642,17448858,-,FBgn0025037,Eh,Scf_3R,7973230,7987360,+,EOG09190JZL,1,1,1
FBgn0000565,Eip71CD,3L,15511052,15513202,+,FBgn0186230,GD14549,Scf_3L,15137617,15139754,+,EOG09190DCG,1,1,1
FBgn0000566,Eip55E,2R,18627918,18629395,+,FBgn0183149,GD11400,Scf_2R,15117643,15119017,+,EOG0919097F,1,1,1
FBgn0000567,Eip74EF,3L,17558672,17619325,-,FBgn0184127,GD12395,Scf_3L,17143757,17186275,-,EOG091907WG,1,1,1
FBgn0000568,Eip75B,3L,17950953,18064696,-,FBgn0184090,GD12358,Scf_3L,17509338,17527308,-,EOG091902I9,1,1,1
FBgn0000575,emc,3L,749400,753492,+,FBgn0185281,GD13571,Scf_3L,713911,717801,+,EOG09190HN6,1,1,1
FBgn0000576,ems,3R,13901853,13904620,+,FBgn0190448,GD18937,Scf_3R,11449925,11452624,-,EOG09190DVB,1,1,1
FBgn0000577,en,2R,11524006,11528210,-,FBgn0044189,en,Scf_2R,8115922,8120137,-,EOG09190CJ9,1,1,1
FBgn0000578,ena,2R,19141632,19163705,+,FBgn0183180,GD11431,Scf_2R,15634620,15656669,+,EOG091906TV,1,1,1
FBgn0000579,Eno,2L,1724768,1729636,-,FBgn0194293,GD22899,Scf_2L,1651731,1656227,-,EOG091906OG,1,1,1
FBgn0000581,E(Pc),2R,11452043,11465270,+,FBgn0182564,GD10801,Scf_2R,8047895,8056840,+,EOG091900NN,1,1,1
FBgn0000588,esc,2L,11827204,11829405,-,FBgn0193563,GD22153,Scf_2L,11461200,11465596,-,EOG0919097U,1,1,1
FBgn0000591,E(spl)m8-HLH,3R,26040240,26041008,+,FBgn0082740,E(spl),Scf_3R,21362849,21363704,+,EOG09190H0L,1,1,1
FBgn0000592,Est-6,3L,12188818,12190705,+,FBgn0012832,Est-6,Scf_3L,11880703,11882571,+,EOG091905G3,2,2,0
FBgn0000592,Est-6,3L,12188818,12190705,+,FBgn0068661,Est-P,Scf_3L,11882587,11884414,+,EOG091905G3,2,2,0
