dmel_FBgn,dmel_NCBI_ID,dsim_NCBI_ID,dsim_GLEANR_ID,dsim_FBgn,flag_dsim_FBgn_dup,#clusterid,num_GLEANRIDs_sim,flag_singleton,num_unique_dsim_clusterID_per_FBgn,flag_discrepant_FBgn_2_GLEANR_link,flag_many_dmel_FBgn,flag_many_dmel_NCBI_ID,flag_many_dsim_NCBI_ID,flag_many_dsim_GLEANR_ID
FBgn0003462,39251.0,6737625.0,dsim_GLEANR_12880,FBgn0012854,0.0,5501.0,1.0,1.0,1,0,0,0,0,0
FBgn0005391,31938.0,6725576.0,dsim_GLEANR_16282,FBgn0012859,0.0,7877.0,1.0,1.0,1,0,0,0,0,0
FBgn0004057,32974.0,27206595.0,dsim_GLEANR_8868,FBgn0012860,0.0,17621.0,1.0,1.0,1,0,0,0,0,0
FBgn0000166,40830.0,6727008.0,dsim_GLEANR_3311,FBgn0012864,0.0,5619.0,1.0,1.0,1,0,0,0,0,0
FBgn0004859,43767.0,6740158.0,dsim_GLEANR_8797,FBgn0012866,0.0,12773.0,1.0,1.0,1,0,0,0,0,0
FBgn0000427,31691.0,6725392.0,dsim_GLEANR_16380,FBgn0012868,0.0,3389.0,1.0,1.0,1,0,0,0,0,0
FBgn0003313,34570.0,6731979.0,dsim_GLEANR_7510,FBgn0012892,0.0,2551.0,1.0,1.0,1,0,0,0,0,0
FBgn0004170,30982.0,6724768.0,dsim_GLEANR_16709,FBgn0012893,0.0,12429.0,1.0,1.0,1,0,0,0,0,0
FBgn0003741,39849.0,6738353.0,dsim_GLEANR_12525,FBgn0012901,0.0,15782.0,1.0,1.0,1,0,0,0,0,0
FBgn0003996,31271.0,27207232.0,dsim_GLEANR_16573,FBgn0012902,0.0,10251.0,1.0,1.0,1,0,0,0,0,0
FBgn0004034,30980.0,6739897.0,dsim_GLEANR_8582,FBgn0012903,0.0,134.0,1.0,1.0,1,0,0,0,0,0
FBgn0004050,31230.0,6724962.0,dsim_GLEANR_16807,FBgn0012904,0.0,11017.0,1.0,1.0,1,0,0,0,0,0
FBgn0001112,40875.0,6727070.0,dsim_GLEANR_3281,FBgn0013875,0.0,17086.0,1.0,1.0,1,0,0,0,0,0
FBgn0003231,35246.0,6732838.0,dsim_GLEANR_7943,FBgn0013883,0.0,2240.0,1.0,1.0,1,0,0,0,0,0
FBgn0003965,32026.0,6725632.0,dsim_GLEANR_17161,FBgn0013884,0.0,1973.0,1.0,1.0,1,0,0,0,0,0
FBgn0000463,42313.0,6727467.0,dsim_GLEANR_3904,FBgn0014814,0.0,6086.0,1.0,1.0,1,0,0,0,0,0
FBgn0003189,32640.0,6740171.0,dsim_GLEANR_8818,FBgn0015169,0.0,2349.0,2.0,0.0,1,0,0,0,0,0
FBgn0284220,35225.0,6732814.0,dsim_GLEANR_5523,FBgn0015670,0.0,10630.0,1.0,1.0,1,0,0,0,0,0
FBgn0000490,33432.0,6730715.0,dsim_GLEANR_6897,FBgn0015673,0.0,4602.0,1.0,1.0,1,0,0,0,0,0
FBgn0000422,35190.0,6732777.0,dsim_GLEANR_5542,FBgn0016334,0.0,10063.0,1.0,1.0,1,0,0,0,0,0
FBgn0002564,38015.0,6736190.0,dsim_GLEANR_13579,FBgn0016340,0.0,754.0,3.0,0.0,1,0,0,0,0,0
FBgn0264270,3772180.0,6725342.0,dsim_GLEANR_16401,FBgn0016343,0.0,12250.0,1.0,1.0,1,0,0,0,0,0
FBgn0001168,38995.0,6737325.0,dsim_GLEANR_14137,FBgn0016346,0.0,11753.0,1.0,1.0,1,0,0,0,0,0
FBgn0001280,43569.0,6730164.0,dsim_GLEANR_1753,FBgn0016348,0.0,1932.0,1.0,1.0,1,0,0,0,0,0
FBgn0003300,33059.0,6726541.0,dsim_GLEANR_17621,FBgn0016352,0.0,3529.0,1.0,1.0,1,0,0,0,0,0
FBgn0003308,41605.0,6728274.0,dsim_GLEANR_2684,FBgn0016353,0.0,13569.0,1.0,1.0,1,0,0,0,0,0
FBgn0003900,37655.0,6735802.0,dsim_GLEANR_11687,FBgn0016355,0.0,4815.0,1.0,1.0,1,0,0,0,0,0
FBgn0004169,32314.0,6725876.0,dsim_GLEANR_16127,FBgn0018225,0.0,7283.0,1.0,1.0,1,0,0,0,0,0
FBgn0005558,43812.0,6724720.0,dsim_GLEANR_8162,FBgn0018281,0.0,3576.0,2.0,0.0,1,0,0,0,0,0
FBgn0004511,32130.0,6725714.0,dsim_GLEANR_16212,FBgn0018282,0.0,8962.0,1.0,1.0,1,0,0,0,0,0
FBgn0000075,35188.0,6732775.0,dsim_GLEANR_7906,FBgn0018304,0.0,10219.0,1.0,1.0,1,0,0,0,0,0
FBgn0039730,43554.0,6730150.0,dsim_GLEANR_1762,FBgn0018327,0.0,5312.0,1.0,1.0,1,0,0,0,0,0
FBgn0014396,33571.0,6730875.0,dsim_GLEANR_6496,FBgn0020076,0.0,10737.0,1.0,1.0,1,0,0,0,0,0
FBgn0000206,43146.0,6729693.0,dsim_GLEANR_5012,FBgn0020078,0.0,7504.0,1.0,1.0,1,0,0,0,0,0
FBgn0003510,43571.0,6730166.0,dsim_GLEANR_5251,FBgn0020081,0.0,8840.0,1.0,1.0,1,0,0,0,0,0
FBgn0001077,40834.0,6727018.0,dsim_GLEANR_3687,FBgn0020697,0.0,2763.0,1.0,1.0,1,0,0,0,0,0
FBgn0002719,47173.0,6728310.0,dsim_GLEANR_4321,FBgn0020700,0.0,1056.0,1.0,1.0,1,0,0,0,0,0
FBgn0034002,36689.0,6734593.0,dsim_GLEANR_11078,FBgn0021123,0.0,6076.0,1.0,1.0,1,0,0,0,0,0
FBgn0020506,36863.0,6734800.0,dsim_GLEANR_9518,FBgn0021128,0.0,13717.0,1.0,1.0,1,0,0,0,0,0
FBgn0003034,39494.0,6737935.0,dsim_GLEANR_14443,FBgn0021129,0.0,10156.0,1.0,1.0,1,0,0,0,0,0
FBgn0000261,40048.0,6738604.0,dsim_GLEANR_14766,FBgn0022505,0.0,597.0,2.0,0.0,1,0,0,0,0,0
FBgn0000024,41625.0,6728249.0,dsim_GLEANR_4292,FBgn0022516,0.0,8136.0,1.0,1.0,1,0,0,0,0,0
FBgn0010217,43829.0,6724738.0,dsim_GLEANR_8168,FBgn0022517,0.0,11250.0,1.0,1.0,1,0,0,0,0,0
FBgn0011576,31192.0,6724927.0,dsim_GLEANR_16792,FBgn0024395,0.0,7824.0,1.0,1.0,1,0,0,0,0,0
FBgn0005670,31188.0,6724923.0,dsim_GLEANR_16606,FBgn0024396,0.0,926.0,1.0,1.0,1,0,0,0,0,0
FBgn0014269,37187.0,6735202.0,dsim_GLEANR_9341,FBgn0024778,0.0,8846.0,1.0,1.0,1,0,0,0,0,0
FBgn0000640,34259.0,6731627.0,dsim_GLEANR_7337,FBgn0024781,0.0,13466.0,1.0,1.0,1,0,0,0,0,0
FBgn0004110,42536.0,6727192.0,dsim_GLEANR_3216,FBgn0025027,0.0,2830.0,2.0,0.0,1,0,0,0,0,0
FBgn0266411,43580.0,6730177.0,dsim_GLEANR_5259,FBgn0025029,0.0,10896.0,1.0,1.0,1,0,0,0,0,0
FBgn0004595,41363.0,6728529.0,dsim_GLEANR_2560,FBgn0025030,0.0,431.0,1.0,1.0,1,0,0,0,0,0
FBgn0003118,42757.0,6729221.0,dsim_GLEANR_2215,FBgn0025031,0.0,2428.0,2.0,0.0,1,0,0,0,0,0
FBgn0002962,42297.0,6727485.0,dsim_GLEANR_3072,FBgn0025032,0.0,8083.0,1.0,1.0,1,0,0,0,0,0
FBgn0011666,43087.0,6729631.0,dsim_GLEANR_4982,FBgn0025033,0.0,4219.0,4.0,0.0,1,0,0,0,0,0
FBgn0086355,43582.0,6730181.0,dsim_GLEANR_1746,FBgn0025034,0.0,12334.0,1.0,1.0,1,0,0,0,0,0
FBgn0262733,48973.0,6736801.0,dsim_GLEANR_13293,FBgn0025035,0.0,10312.0,1.0,1.0,1,0,0,0,0,0
FBgn0267348,39118.0,6737457.0,dsim_GLEANR_14212,FBgn0025036,0.0,5037.0,1.0,1.0,1,0,0,0,0,0
FBgn0000564,42101.0,6727700.0,dsim_GLEANR_4013,FBgn0025037,0.0,2746.0,1.0,1.0,1,0,0,0,0,0
FBgn0011573,38232.0,6736410.0,dsim_GLEANR_13681,FBgn0025042,0.0,11950.0,1.0,1.0,1,0,0,0,0,0
FBgn0000015,47763.0,6727774.0,dsim_GLEANR_4048,FBgn0025043,0.0,5630.0,1.0,1.0,1,0,0,0,0,0
FBgn0002561,30983.0,27206376.0,dsim_GLEANR_16710,FBgn0025409,0.0,11060.0,1.0,1.0,1,0,0,0,0,0
FBgn0000094,43595.0,6730191.0,dsim_GLEANR_5262,FBgn0025411,0.0,4692.0,1.0,1.0,1,0,0,0,0,0
FBgn0002036,35189.0,6732776.0,dsim_GLEANR_7907,FBgn0025651,0.0,5942.0,1.0,1.0,1,0,0,0,0,0
FBgn0004837,34881.0,6732389.0,dsim_GLEANR_7718,FBgn0027417,0.0,15014.0,1.0,1.0,1,0,0,0,0,0
FBgn0015583,34162.0,6731504.0,dsim_GLEANR_6159,FBgn0027418,0.0,8.0,226.0,0.0,1,0,0,0,0,0
FBgn0260243,41073.0,6728855.0,dsim_GLEANR_4601,FBgn0027801,0.0,11923.0,1.0,1.0,1,0,0,0,0,0
FBgn0022349,43741.0,6730371.0,dsim_GLEANR_5354,FBgn0027802,0.0,10580.0,1.0,1.0,1,0,0,0,0,0
FBgn0086687,117369.0,6728348.0,dsim_GLEANR_2646,FBgn0027803,0.0,4451.0,1.0,1.0,1,0,0,0,0,0
FBgn0015574,40902.0,6727100.0,dsim_GLEANR_3268,FBgn0027804,0.0,1833.0,4.0,0.0,1,0,0,0,0,0
FBgn0015572,40906.0,6727105.0,dsim_GLEANR_3265,FBgn0027806,0.0,1833.0,4.0,0.0,1,0,0,0,0,0
FBgn0025558,39857.0,6738360.0,dsim_GLEANR_14653,FBgn0028445,0.0,875.0,1.0,1.0,1,0,0,0,0,0
FBgn0004465,39856.0,6738359.0,dsim_GLEANR_12521,FBgn0028446,0.0,564.0,1.0,1.0,1,0,0,0,0,0
FBgn0262473,43222.0,6729781.0,dsim_GLEANR_5066,FBgn0028769,0.0,4329.0,1.0,1.0,1,0,0,0,0,0
FBgn0026760,34761.0,6732214.0,dsim_GLEANR_7630,FBgn0028770,0.0,1470.0,1.0,1.0,1,0,0,0,0,0
FBgn0003517,31106.0,6724869.0,dsim_GLEANR_16635,FBgn0029243,0.0,7708.0,1.0,1.0,1,0,0,0,0,0
FBgn0014018,41087.0,6728840.0,dsim_GLEANR_4593,FBgn0029245,0.0,8339.0,1.0,1.0,1,0,0,0,0,0
FBgn0003205,41140.0,6728783.0,dsim_GLEANR_4563,FBgn0029246,0.0,3429.0,1.0,1.0,1,0,0,0,0,0
FBgn0003206,38494.0,6736726.0,dsim_GLEANR_13841,FBgn0029247,0.0,12746.0,1.0,1.0,1,0,0,0,0,0
FBgn0004636,38244.0,27206263.0,dsim_GLEANR_13472,FBgn0029248,0.0,12846.0,1.0,1.0,1,0,0,0,0,0
FBgn0003114,44848.0,6735354.0,dsim_GLEANR_9289,FBgn0040413,0.0,1420.0,1.0,1.0,1,0,0,0,0,0
FBgn0002626,43573.0,6730169.0,dsim_GLEANR_1752,FBgn0040418,0.0,321.0,1.0,1.0,1,0,0,0,0,0
FBgn0041102|FBgn0001281,43567.0|43568.0,6730162.0|6730163.0,dsim_GLEANR_1755|dsim_GLEANR_1754,FBgn0041268,1.0,6305.0,2.0,0.0,1,0,1,1,1,1
FBgn0000376,31268.0,6724978.0,dsim_GLEANR_16576,FBgn0041270,0.0,7589.0,1.0,1.0,1,0,0,0,0,0
FBgn0003719,42945.0,6729455.0,dsim_GLEANR_4886,FBgn0041655,0.0,5094.0,2.0,0.0,1,0,0,0,0,0
FBgn0003514,31554.0,6725263.0,dsim_GLEANR_16438,FBgn0041656,0.0,7902.0,1.0,1.0,1,0,0,0,0,0
FBgn0003463,32498.0,6726041.0,dsim_GLEANR_16037,FBgn0041657,0.0,5115.0,1.0,1.0,1,0,0,0,0,0
FBgn0266581,42595.0,6729047.0,dsim_GLEANR_4683,FBgn0041658,0.0,11829.0,1.0,1.0,1,0,0,0,0,0
FBgn0003023,31789.0,6740029.0,dsim_GLEANR_8383,FBgn0041659,0.0,1453.0,2.0,0.0,1,0,0,0,0,0
FBgn0038755,42380.0,6727390.0,dsim_GLEANR_3873,FBgn0041661,0.0,2571.0,1.0,1.0,1,0,0,0,0,0
FBgn0002709,3772646.0,6726226.0,dsim_GLEANR_15946,FBgn0041663,0.0,7618.0,2.0,0.0,1,0,0,0,0,0
FBgn0002431,41181.0,6728741.0,dsim_GLEANR_4542,FBgn0041664,0.0,5918.0,2.0,0.0,1,0,0,0,0,0
FBgn0262975,42743.0,6729207.0,dsim_GLEANR_2224,FBgn0041665,0.0,6466.0,1.0,1.0,1,0,0,0,0,0
FBgn0001090,32872.0,6726381.0,dsim_GLEANR_15863,FBgn0041666,0.0,3432.0,1.0,1.0,1,0,0,0,0,0
FBgn0003676,42649.0,6729112.0,dsim_GLEANR_2277,FBgn0041667,0.0,4789.0,1.0,1.0,1,0,0,0,0,0
FBgn0020626,42985.0,6729504.0,dsim_GLEANR_2079,FBgn0041668,0.0,4252.0,1.0,1.0,1,0,0,0,0,0
FBgn0266599,41840.0,6728006.0,dsim_GLEANR_2803,FBgn0041669,0.0,8.0,226.0,0.0,1,0,0,0,0,0
FBgn0000283,41848.0,6727996.0,dsim_GLEANR_4147,FBgn0041670,0.0,4155.0,1.0,1.0,1,0,0,0,0,0
FBgn0263351,42642.0,6729104.0,dsim_GLEANR_4717,FBgn0041673,0.0,9271.0,1.0,1.0,1,0,0,0,0,0
FBgn0011281,40737.0,6726906.0,dsim_GLEANR_3362,FBgn0041892,0.0,2786.0,1.0,1.0,1,0,0,0,0,0
FBgn0011559,35096.0,6732669.0,dsim_GLEANR_5599,FBgn0041931,0.0,1783.0,1.0,1.0,1,0,0,0,0,0
FBgn0042710,43191.0,6729740.0,dsim_GLEANR_5041,FBgn0042855,0.0,638.0,1.0,1.0,1,0,0,0,0,0
FBgn0042711,117364.0,6729739.0,dsim_GLEANR_5040,FBgn0042856,0.0,11543.0,1.0,1.0,1,0,0,0,0,0
FBgn0026079,45064.0,6725064.0,dsim_GLEANR_16537,FBgn0042857,0.0,10201.0,1.0,1.0,1,0,0,0,0,0
FBgn0026080,31362.0,6725066.0,dsim_GLEANR_16536,FBgn0042858,0.0,1506.0,1.0,1.0,1,0,0,0,0,0
FBgn0026085,31361.0,6725065.0,dsim_GLEANR_16865,FBgn0042859,0.0,1309.0,1.0,1.0,1,0,0,0,0,0
FBgn0261571,34854.0,6732352.0,dsim_GLEANR_5757,FBgn0042860,0.0,368.0,5.0,0.0,1,0,0,0,0,0
FBgn0028871,34846.0,6732326.0,dsim_GLEANR_5768,FBgn0042861,0.0,9515.0,1.0,1.0,1,0,0,0,0,0
FBgn0028947,34917.0,6732441.0,dsim_GLEANR_7743,FBgn0042864,0.0,14481.0,1.0,1.0,1,0,0,0,0,0
FBgn0023000|FBgn0034219|FBgn0028956|FBgn0035623,38058.0|36960.0|36961.0|38636.0,6734418.0|6734905.0|6734906.0|6736897.0,dsim_GLEANR_9699|dsim_GLEANR_9470|dsim_GLEANR_9469|dsim_GLEANR_13917,FBgn0043394,1.0,2385.0,5.0,0.0,1,0,1,1,1,1
FBgn0004652,42226.0,6727559.0,dsim_GLEANR_3951,FBgn0043395,0.0,485.0,2.0,0.0,1,0,0,0,0,0
FBgn0015586,40078.0,6738640.0,dsim_GLEANR_12376,FBgn0043398,0.0,8216.0,1.0,1.0,1,0,0,0,0,0
FBgn0020509,38340.0,6736523.0,dsim_GLEANR_13736,FBgn0043400,0.0,6013.0,2.0,0.0,1,0,0,0,0,0
FBgn0015584,36874.0,6734810.0,dsim_GLEANR_9510,FBgn0043401,0.0,1733.0,1.0,1.0,1,0,0,0,0,0
FBgn0023415,34531.0,6731928.0,dsim_GLEANR_7487,FBgn0043403,0.0,7973.0,1.0,1.0,1,0,0,0,0,0
FBgn0041102|FBgn0001281,43567.0|43568.0,6730162.0|6730163.0,dsim_GLEANR_1755|dsim_GLEANR_1754,FBgn0043621,1.0,6305.0,2.0,0.0,1,0,1,1,1,1
FBgn0001320,40287.0,6738893.0,dsim_GLEANR_12242,FBgn0044187,0.0,2219.0,1.0,1.0,1,0,0,0,0,0
FBgn0000577,36240.0,6734012.0,dsim_GLEANR_9886,FBgn0044189,0.0,4604.0,1.0,1.0,1,0,0,0,0,0
FBgn0040477,36495.0,6734326.0,dsim_GLEANR_10940,FBgn0044191,0.0,7436.0,1.0,1.0,1,0,0,0,0,0
FBgn0020376,44382.0,6730938.0,dsim_GLEANR_7009,FBgn0044193,0.0,13135.0,1.0,1.0,1,0,0,0,0,0
FBgn0014033|FBgn0020377,33621.0|44219.0,6730939.0|6739420.0,dsim_GLEANR_7010|dsim_GLEANR_15334,FBgn0044194,1.0,8984.0,2.0,0.0,1,0,1,1,1,1
FBgn0014033|FBgn0020377,33621.0|44219.0,6730939.0|6739420.0,dsim_GLEANR_7010|dsim_GLEANR_15334,FBgn0044195,1.0,8984.0,2.0,0.0,1,0,1,1,1,1
FBgn0020414,34981.0,6732521.0,dsim_GLEANR_7785,FBgn0044199,0.0,2799.0,1.0,1.0,1,0,0,0,0,0
FBgn0020416,34978.0,6732519.0,dsim_GLEANR_7783,FBgn0044200,0.0,1999.0,1.0,1.0,1,0,0,0,0,0
FBgn0040093,53523.0,6733766.0,dsim_GLEANR_10663,FBgn0045530,0.0,8093.0,1.0,1.0,1,0,0,0,0,0
FBgn0265262,45668.0,6732141.0,dsim_GLEANR_5852,FBgn0045541,0.0,4923.0,3.0,0.0,1,0,0,0,0,0
FBgn0003512,43572.0,6730168.0,dsim_GLEANR_5253,FBgn0045545,0.0,12039.0,1.0,1.0,1,0,0,0,0,0
FBgn0010406,38885.0,6737192.0,dsim_GLEANR_14066,FBgn0045558,0.0,8167.0,1.0,1.0,1,0,0,0,0,0
FBgn0011771,40462.0,6739106.0,dsim_GLEANR_12141,FBgn0045567,0.0,12046.0,1.0,1.0,1,0,0,0,0,0
FBgn0039597,43395.0,6729952.0,dsim_GLEANR_1851,FBgn0045574,0.0,9667.0,1.0,1.0,1,0,0,0,0,0
FBgn0261064,34110.0,6731446.0,dsim_GLEANR_7244,FBgn0045586,0.0,314.0,1.0,1.0,1,0,0,0,0,0
FBgn0033999,36686.0,6734590.0,dsim_GLEANR_9622,FBgn0045589,0.0,10982.0,1.0,1.0,1,0,0,0,0,0
FBgn0036154,39273.0,6737650.0,dsim_GLEANR_12869,FBgn0045604,0.0,10048.0,1.0,1.0,1,0,0,0,0,0
FBgn0083965,43181.0,6729728.0,dsim_GLEANR_1972,FBgn0045605,0.0,239.0,50.0,0.0,1,0,0,0,0,0
FBgn0038055,41540.0,6728345.0,dsim_GLEANR_2649,FBgn0045611,0.0,8493.0,1.0,1.0,1,0,0,0,0,0
FBgn0034229,36973.0,6734924.0,dsim_GLEANR_11251,FBgn0045613,0.0,3479.0,1.0,1.0,1,0,0,0,0,0
FBgn0038919,42583.0,6729031.0,dsim_GLEANR_4677,FBgn0045627,0.0,9437.0,3.0,0.0,1,0,0,0,0,0
FBgn0250842,36414.0,6734228.0,dsim_GLEANR_9799,FBgn0045629,0.0,3600.0,1.0,1.0,1,0,0,0,0,0
FBgn0250847,33751.0,6731057.0,dsim_GLEANR_6404,FBgn0045644,0.0,2517.0,4.0,0.0,1,0,0,0,0,0
FBgn0034195,36931.0,27206612.0,dsim_GLEANR_9485,FBgn0045657,0.0,12096.0,1.0,1.0,1,0,0,0,0,0
FBgn0260766,40788.0,6726964.0,dsim_GLEANR_3662,FBgn0045660,0.0,11654.0,1.0,1.0,1,0,0,0,0,0
FBgn0003302,31535.0,6725241.0,dsim_GLEANR_16452,FBgn0046909,0.0,2651.0,1.0,1.0,1,0,0,0,0,0
FBgn0010225,46008.0,6726651.0,dsim_GLEANR_3498,FBgn0046913,0.0,152.0,1.0,1.0,1,0,0,0,0,0
FBgn0264492,48448.0,6739677.0,dsim_GLEANR_17824,FBgn0046914,0.0,9295.0,1.0,1.0,1,0,0,0,0,0
FBgn0041579,36484.0,6734310.0,dsim_GLEANR_10936,FBgn0046916,0.0,7449.0,1.0,1.0,1,0,0,0,0,0
FBgn0000071,40831.0,6727010.0,dsim_GLEANR_3684,FBgn0046919,0.0,13623.0,1.0,1.0,1,0,0,0,0,0
FBgn0039938,43844.0,6724728.0,dsim_GLEANR_8114,FBgn0061239,0.0,1022.0,1.0,1.0,1,0,0,0,0,0
FBgn0039937,43843.0,6724729.0,dsim_GLEANR_8113,FBgn0061243,0.0,10905.0,1.0,1.0,1,0,0,0,0,0
FBgn0003511,43570.0,6730165.0,dsim_GLEANR_5250,FBgn0062291,0.0,12021.0,1.0,1.0,1,0,0,0,0,0
FBgn0003079,31221.0,6724954.0,dsim_GLEANR_16806,FBgn0063982,0.0,14310.0,1.0,1.0,1,0,0,0,0,0
FBgn0015402,40660.0,6726816.0,dsim_GLEANR_3405,FBgn0063983,0.0,12687.0,1.0,1.0,1,0,0,0,0,0
FBgn0004638,36497.0,6734328.0,dsim_GLEANR_9744,FBgn0063984,0.0,2688.0,1.0,1.0,1,0,0,0,0,0
FBgn0035409,38383.0,6736581.0,dsim_GLEANR_13395,FBgn0063988,0.0,10955.0,1.0,1.0,1,0,0,0,0,0
FBgn0024980,31269.0,6724979.0,dsim_GLEANR_16575,FBgn0063990,0.0,5109.0,1.0,1.0,1,0,0,0,0,0
FBgn0001965,34790.0,6732257.0,dsim_GLEANR_7656,FBgn0063991,0.0,5760.0,1.0,1.0,1,0,0,0,0,0
FBgn0025643,31278.0,6724985.0,dsim_GLEANR_16819,FBgn0063992,0.0,9576.0,1.0,1.0,1,0,0,0,0,0
FBgn0024997,31258.0,6724973.0,dsim_GLEANR_16815,FBgn0063993,0.0,6379.0,1.0,1.0,1,0,0,0,0,0
FBgn0010269,31872.0,6725528.0,dsim_GLEANR_17118,FBgn0063994,0.0,1680.0,1.0,1.0,1,0,0,0,0,0
FBgn0029642,31282.0,6724989.0,dsim_GLEANR_16821,FBgn0063995,0.0,2434.0,1.0,1.0,1,0,0,0,0,0
FBgn0000092,31252.0,6739960.0,dsim_GLEANR_8443,FBgn0063996,0.0,8939.0,1.0,1.0,1,0,0,0,0,0
FBgn0027550,34486.0,6731881.0,dsim_GLEANR_7465,FBgn0063997,0.0,4900.0,1.0,1.0,1,0,0,0,0,0
FBgn0034253,37000.0,6734954.0,dsim_GLEANR_9449,FBgn0064354,0.0,4118.0,1.0,1.0,1,0,0,0,0,0
FBgn0005655,37290.0,6735353.0,dsim_GLEANR_9290,FBgn0064355,0.0,3866.0,1.0,1.0,1,0,0,0,0,0
FBgn0015924,33219.0,6730461.0,dsim_GLEANR_6697,FBgn0064356,0.0,3722.0,1.0,1.0,1,0,0,0,0,0
FBgn0010411,37292.0,6735355.0,dsim_GLEANR_11466,FBgn0064360,0.0,1163.0,1.0,1.0,1,0,0,0,0,0
FBgn0013767,41742.0,6728108.0,dsim_GLEANR_2760,FBgn0064364,0.0,8910.0,1.0,1.0,1,0,0,0,0,0
FBgn0033820,36471.0,6734294.0,dsim_GLEANR_10929,FBgn0064367,0.0,1963.0,1.0,1.0,1,0,0,0,0,0
FBgn0039120,42816.0,6729286.0,dsim_GLEANR_2178,FBgn0066160,0.0,1749.0,1.0,1.0,1,0,0,0,0,0
FBgn0014865,36708.0,6734614.0,dsim_GLEANR_11088,FBgn0066161,0.0,9722.0,1.0,1.0,1,0,0,0,0,0
FBgn0001222,37068.0,6740478.0,dsim_GLEANR_422,FBgn0066162,0.0,16703.0,1.0,1.0,1,0,0,0,0,0
FBgn0024352,33202.0,6730441.0,dsim_GLEANR_6756,FBgn0066163,0.0,6124.0,1.0,1.0,1,0,0,0,0,0
FBgn0001206,31988.0,6725604.0,dsim_GLEANR_16266,FBgn0066164,0.0,1186.0,1.0,1.0,1,0,0,0,0,0
FBgn0010388,36635.0,6734528.0,dsim_GLEANR_11046,FBgn0066165,0.0,5638.0,1.0,1.0,1,0,0,0,0,0
FBgn0263106,38643.0,6736906.0,dsim_GLEANR_13230,FBgn0066166,0.0,2586.0,1.0,1.0,1,0,0,0,0,0
FBgn0010385,36047.0,6733812.0,dsim_GLEANR_9996,FBgn0066167,0.0,3346.0,1.0,1.0,1,0,0,0,0,0
FBgn0027052,34433.0,6731829.0,dsim_GLEANR_7439,FBgn0066168,0.0,13020.0,1.0,1.0,1,0,0,0,0,0
FBgn0032429,34655.0,6732088.0,dsim_GLEANR_5881,FBgn0066169,0.0,1858.0,1.0,1.0,1,0,0,0,0,0
FBgn0035851,38914.0,6737230.0,dsim_GLEANR_14081,FBgn0067157,0.0,10749.0,1.0,1.0,1,0,0,0,0,0
FBgn0010403,40738.0,6726907.0,dsim_GLEANR_3361,FBgn0067158,0.0,416.0,1.0,1.0,1,0,0,0,0,0
FBgn0019624,41432.0,6728463.0,dsim_GLEANR_2595,FBgn0067172,0.0,12376.0,1.0,1.0,1,0,0,0,0,0
