Term,flag_B73Zero_restUp,flag_DE_B73,flag_DE_C123,flag_DE_Hp301,flag_DE_Mo17,flag_DE_NC338,flag_DE_all,flag_DE_all_noB73
negative regulation of transcription from RNA polymerase II promoter,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nonphotochemical quenching,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
nuclear-transcribed mRNA catabolic process,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
oxylipin biosynthetic process,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
phosphate ion transmembrane transport,0.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0
phosphatidylglycerol biosynthetic process,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0
phosphoglycerate transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
photosynthesis,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0
"photosynthesis, light harvesting in photosystem I",0.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0
"photosynthesis, light reaction",0.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0
photosynthetic electron transport chain,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
photosynthetic electron transport in photosystem I,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0
photosynthetic electron transport in photosystem II,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
photosystem I assembly,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
photosystem II stabilization,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
plant ovule development,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
plastid organization,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0
plastid translation,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0
polyamine catabolic process,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
positive regulation of flavonoid biosynthetic process,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
positive regulation of secondary metabolite biosynthetic process,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
proline transport,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
protein deneddylation,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0
protein desumoylation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
protein deubiquitination,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
protein import into nucleus,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
protein maturation,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
protein targeting to chloroplast,0.0,0.0,2.0,0.0,4.0,4.0,0.0,4.0
protein targeting to mitochondrion,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
protein transmembrane import into intracellular organelle,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
protein-chromophore linkage,0.0,1.0,4.0,4.0,4.0,3.0,1.0,4.0
recognition of pollen,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reductive pentose-phosphate cycle,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
regulation of lipid metabolic process,0.0,0.0,2.0,1.0,3.0,4.0,0.0,4.0
regulation of multi-organism process,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0
regulation of proton transport,0.0,0.0,4.0,1.0,1.0,4.0,0.0,4.0
regulation of response to biotic stimulus,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0
regulation of translational initiation,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
response to cyclopentenone,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
response to desiccation,0.0,4.0,2.0,3.0,0.0,4.0,0.0,0.0
response to ethanol,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
response to growth hormone,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
response to light stimulus,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
response to low light intensity stimulus,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
response to nematode,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0
response to red light,0.0,0.0,4.0,4.0,4.0,4.0,1.0,3.0
response to salicylic acid,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
secondary metabolic process,0.0,0.0,4.0,0.0,4.0,2.0,0.0,0.0
stomatal complex morphogenesis,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0
tRNA metabolic process,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
transcription from plastid promoter,0.0,0.0,4.0,1.0,4.0,4.0,0.0,4.0
translational elongation,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0
transmembrane receptor protein serine/threonine kinase signaling pathway,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
triose phosphate transmembrane transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
tryptophan catabolic process,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
unsaturated fatty acid biosynthetic process,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0
virus induced gene silencing,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
vitamin metabolic process,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
ATP hydrolysis coupled proton transport,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
DNA endoreduplication,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"RNA splicing, via endonucleolytic cleavage and ligation",0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
aerobic respiration,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cellular lipid metabolic process,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
chitin catabolic process,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
chloroplast relocation,0.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0
"defense response to fungus, incompatible interaction",0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
jasmonic acid biosynthetic process,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
"mRNA splicing, via spliceosome",0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0
nucleotide metabolic process,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
phosphatidylinositol biosynthetic process,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
photomorphogenesis,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
positive regulation of catalytic activity,0.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0
post-embryonic animal morphogenesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
postreplication repair,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
protein peptidyl-prolyl isomerization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
protein targeting to vacuole,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
pyrimidine ribonucleotide biosynthetic process,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
regulation of hydrogen peroxide metabolic process,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0
regulation of seed germination,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
response to bacterium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
response to blue light,0.0,0.0,3.0,3.0,3.0,3.0,0.0,2.0
response to far red light,0.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0
response to red or far red light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ribosomal small subunit assembly,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
salicylic acid biosynthetic process,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0
translational initiation,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"DNA-templated transcription, elongation",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ER to Golgi vesicle-mediated transport,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RNA methylation,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
RNA processing,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
chlorophyll biosynthetic process,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
chloroplast organization,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
defense response,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
nucleosome assembly,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
regulation of photosynthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
regulation of protein dephosphorylation,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
response to karrikin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anther development,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
carbohydrate transport,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
chloroplast RNA processing,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
glucose transport,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nucleic acid phosphodiester bond hydrolysis,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
protein polyubiquitination,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
