gene_id,flag_zea_mays_paralog_hoopes,orthogroup_hoopes,freq_pav_hoopes,flag_pav,flag_detect_shrtRd_rsem_B73,flag_detect_shrtRd_rsem_C123,flag_detect_shrtRd_rsem_Hp301,flag_detect_shrtRd_rsem_Mo17,flag_detect_shrtRd_rsem_NC338,flag_detect_ccs_B73,flag_detect_ccs_C123,flag_detect_ccs_Hp301,flag_detect_ccs_Mo17,flag_detect_ccs_NC338,flag_detect_shrtRd_genomeAln_B73,flag_detect_shrtRd_genomeAln_C123,flag_detect_shrtRd_genomeAln_Hp301,flag_detect_shrtRd_genomeAln_Mo17,flag_detect_shrtRd_genomeAln_NC338,flag_detect_B73,flag_detect_C123,flag_detect_Hp301,flag_detect_Mo17,flag_detect_NC338,flag_detect_num_geno_gt0_lt5,num_detect_genotype,flag_analyze_B73,flag_analyze_C123,flag_analyze_Hp301,flag_analyze_Mo17,flag_analyze_NC338,sum_analyze,mean_B73_Amb,mean_B73_Ele,mean_C123_Amb,mean_C123_Ele,mean_Hp301_Amb,mean_Hp301_Ele,mean_Mo17_Amb,mean_Mo17_Ele,mean_NC338_Amb,mean_NC338_Ele,flag_no_assoc_v5_gene,flag_no_assoc_pangene,flag_core,flag_near_core,flag_dispensable,flag_private,flag_any_tandem_dup,flag_temperate_tandem_dup,pangene_class
ENSRNA049479084,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,13.32,9.5475,6.784166666666665,7.461666666666666,14.065833333333332,10.8825,9.769166666666663,14.18083333333333,10.898333333333335,8.9325,1.0,1,0,0,0,0,,,none
ENSRNA049479257,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,236.9725,220.16416666666663,111.705,171.41666666666666,282.3691666666667,194.6725,143.57083333333333,320.71583333333336,251.37,163.82083333333338,1.0,1,0,0,0,0,,,none
ENSRNA049479540,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,1011.1391666666667,883.955,506.20416666666665,714.4033333333334,1229.7075,887.2241666666667,651.405,1395.7275,1055.9641666666666,684.0475,1.0,1,0,0,0,0,,,none
ENSRNA049479574,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,329.3308333333333,217.6358333333333,117.71333333333335,161.16,321.3616666666667,236.89333333333332,150.85750000000004,336.7191666666667,249.93833333333336,150.60416666666666,1.0,1,0,0,0,0,,,none
ENSRNA049479579,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,447.9283333333333,369.8166666666668,166.7183333333334,226.68250000000003,544.2158333333333,400.75250000000005,237.8983333333333,544.9533333333333,390.8416666666667,262.8575,1.0,1,0,0,0,0,,,none
ENSRNA049479871,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,315.2025000000001,258.9316666666667,131.52666666666667,205.2783333333333,359.23500000000007,256.2316666666667,188.18833333333333,433.26166666666666,308.92,192.485,1.0,1,0,0,0,0,,,none
ENSRNA049479875,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,315.2025000000001,258.9316666666667,131.52666666666667,205.2783333333333,359.23500000000007,256.2316666666667,188.18833333333333,433.26166666666666,308.92,192.485,1.0,1,0,0,0,0,,,none
ZeamMp008,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,0.0,1.0,1.0,0.0,0.0,2.0,2.3891666666666667,3.4283333333333332,3.6566666666666654,5.453333333333334,14.808333333333332,15.370833333333332,4.175833333333333,9.856666666666666,4.354166666666667,3.936666666666667,1.0,1,0,0,0,0,,,none
ZeamMp018,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,0.0,1.0,1.0,1.0,1.0,4.0,6.883333333333333,5.133333333333333,3.408333333333333,4.496666666666666,12.375833333333333,17.474166666666665,5.979166666666668,11.014166666666668,7.173333333333333,7.689166666666668,1.0,1,0,0,0,0,,,none
ZeamMp024,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,0,5,0.0,1.0,1.0,1.0,0.0,3.0,3.31,36.26333333333333,5.902499999999999,7.416666666666668,12.616666666666667,15.32583333333333,5.679166666666667,12.525833333333333,5.848333333333334,6.0183333333333335,1.0,1,0,0,0,0,,,none
ZeamMp026,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,1,1,1,1,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.2616666666666666,0.1175,1.6875,0.7008333333333333,0.0,0.5025,1.0375,0.4008333333333333,0.3775,1.0,1,0,0,0,0,,,none
ZeamMp030,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,20421.801666666666,20308.419166666667,17458.304166666665,12844.47,39890.375,27641.98666666667,16025.659166666665,27309.63583333333,26272.195,11340.340833333335,1.0,1,0,0,0,0,,,none
ZeamMp035,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,1,1,1,1,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,,,none
ZeamMp041,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,49.16583333333333,21.17,10.581666666666663,15.975833333333336,49.75749999999999,57.58166666666666,23.55666666666667,35.31333333333333,21.756666666666664,28.90583333333333,1.0,1,0,0,0,0,,,none
ZeamMp042,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,0.0,1.0,1.0,1.0,4.0,8.134166666666667,12.371666666666664,4.1433333333333335,5.429166666666667,18.9025,25.85916666666667,14.396666666666665,19.7675,6.3500000000000005,9.811666666666666,1.0,1,0,0,0,0,,,none
ZeamMp047,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,0.0,1.0,1.0,1.0,1.0,4.0,6.883333333333333,5.133333333333333,3.408333333333333,4.496666666666666,12.375833333333333,17.474166666666665,5.979166666666668,11.014166666666668,7.173333333333333,7.689166666666668,1.0,1,0,0,0,0,,,none
ZeamMp051,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,14.445833333333333,69.11416666666666,5.71,16.91166666666667,20.24833333333334,35.465,12.441666666666668,48.78250000000001,16.848333333333333,23.95,1.0,1,0,0,0,0,,,none
ZeamMp054,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0483333333333333,0.4741666666666667,0.0,0.6825,0.7374999999999999,0.8650000000000001,0.485,0.5575,0.0,0.2225,1.0,1,0,0,0,0,,,none
ZeamMp057,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,8.8175,15.5625,22.57666666666667,41.4025,37.47833333333333,42.39500000000001,18.4425,45.13,16.525000000000002,27.56583333333333,1.0,1,0,0,0,0,,,none
ZeamMp060,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.2616666666666666,0.1175,1.6875,0.7008333333333333,0.0,0.5025,1.0375,0.4008333333333333,0.3775,1.0,1,0,0,0,0,,,none
ZeamMp063,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,1,1,1,1,1,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6425,0.4033333333333333,0.0,3.1216666666666666,1.785,0.0,1.1708333333333334,0.0,0.0,1.0,1,0,0,0,0,,,none
ZeamMp066,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,5,0.0,0.0,1.0,0.0,0.0,1.0,1.6916666666666664,1.9208333333333327,1.385,2.0908333333333338,2.6541666666666663,4.177499999999998,1.6891666666666667,2.5725,2.0083333333333333,0.0,1.0,1,0,0,0,0,,,none
ZeamMp074,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.305,99.64333333333332,0.0,1.4375,1.2949999999999997,1.6941666666666666,0.58,2.1225,0.2575,0.8075000000000001,1.0,1,0,0,0,0,,,none
ZeamMp080,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.3266666666666666,0.1383333333333333,0.7358333333333333,0.0,0.7858333333333333,1.2266666666666666,0.8891666666666667,1.325,0.0,0.0,1.0,1,0,0,0,0,,,none
ZeamMp087,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,0.0,0.0,1.0,1.0,0.0,2.0,3.5883333333333334,3.8625,5.08,1.2049999999999998,14.935833333333333,21.83666666666667,9.546666666666667,10.213333333333336,1.3866666666666667,1.8766666666666667,1.0,1,0,0,0,0,,,none
ZeamMp088,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,5,0.0,0.0,1.0,1.0,0.0,2.0,5.074166666666667,1.6675000000000002,3.091666666666667,2.7925,8.397499999999999,8.116666666666665,5.8341666666666665,7.988333333333334,1.8983333333333328,3.3675,1.0,1,0,0,0,0,,,none
ZeamMp091,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,0.0,1.0,1.0,0.0,3.0,4.9191666666666665,6.837499999999999,2.6841666666666666,5.7075000000000005,15.361666666666665,18.223333333333333,7.519166666666666,13.9075,4.284166666666667,2.474166666666666,1.0,1,0,0,0,0,,,none
ZeamMp094,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,11.141666666666666,10.05916666666667,8.74,15.15,33.8675,50.90750000000001,6.859166666666668,23.689166666666665,7.814166666666669,9.410833333333333,1.0,1,0,0,0,0,,,none
ZeamMp098,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,11.2125,13.291666666666664,5.2875,7.220833333333332,26.000833333333336,35.27999999999999,5.6708333333333325,15.108333333333327,6.940833333333334,7.071666666666666,1.0,1,0,0,0,0,,,none
ZeamMp112,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,0.0,1.0,1.0,1.0,4.0,12.234166666666667,8.223333333333333,2.8025,4.574166666666667,21.66416666666667,13.385,11.961666666666668,39.638333333333335,7.570833333333333,11.446666666666667,1.0,1,0,0,0,0,,,none
ZeamMp115,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,0.0,0.0,0.0,1.0,0.0,1.0,2.214166666666667,4.191666666666666,1.5266666666666666,1.8233333333333333,2.6525,5.461666666666666,4.8758333333333335,9.5225,4.045,4.560833333333333,1.0,1,0,0,0,0,,,none
ZeamMp116,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,555.4266666666666,1043.1016666666667,388.34666666666664,209.8025,1213.0391666666665,558.5641666666667,467.3058333333333,238.6525,617.9383333333334,128.40833333333333,1.0,1,0,0,0,0,,,none
ZeamMp119,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,819.3016666666667,1951.275,897.0408333333335,351.98666666666674,1159.4833333333333,927.02,993.9108333333336,759.3774999999997,607.3375,326.7833333333333,1.0,1,0,0,0,0,,,none
ZeamMp127,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.4366666666666667,122.72916666666669,0.3733333333333333,0.0,0.565,1.425,0.6425,1.1541666666666666,1.2166666666666668,0.29,1.0,1,0,0,0,0,,,none
ZeamMp129,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,117.665,416.37666666666667,105.04583333333336,54.69499999999999,252.99916666666664,186.885,213.86416666666665,138.1158333333333,132.2783333333333,74.77416666666667,1.0,1,0,0,0,0,,,none
ZeamMp131,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,137.0175,255.875,15.044166666666666,7.823333333333332,13.283333333333333,34.04,21.496666666666666,19.604166666666668,16.92666666666667,22.32333333333333,1.0,1,0,0,0,0,,,none
ZeamMp134,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,30.48083333333333,52.44583333333333,21.53833333333333,9.158333333333333,39.95416666666667,49.24583333333334,23.86000000000001,19.354166666666668,29.24166666666667,17.55166666666667,1.0,1,0,0,0,0,,,none
ZeamMp136,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,15.246666666666664,20.165000000000006,15.748333333333335,28.08166666666667,25.26833333333333,29.5775,19.563333333333333,63.24999999999999,22.200833333333332,25.86666666666667,1.0,1,0,0,0,0,,,none
ZeamMp137,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,44.84666666666666,41.626666666666665,28.052499999999995,49.36916666666666,58.89666666666667,91.17416666666666,36.4725,124.62416666666668,54.223333333333336,71.03500000000003,1.0,1,0,0,0,0,,,none
ZeamMp145,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,5,0.0,0.0,1.0,1.0,0.0,2.0,3.9066666666666654,3.8725,3.2775000000000003,3.755,8.315,10.503333333333334,5.923333333333333,4.990833333333334,2.118333333333333,2.234166666666667,1.0,1,0,0,0,0,,,none
ZeamMp147,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,2.8816666666666664,2.37,0.6175,1.0,1,0,0,0,0,,,none
ZeamMp149,,,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4225,0.0,0.0,0.0,0.7441666666666666,0.4116666666666667,1.0358333333333334,0.0,1.0,1,0,0,0,0,,,none
ZeamMp161,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,35.82583333333333,50.42083333333333,36.29666666666667,69.66416666666667,83.9475,96.565,33.619166666666665,108.81333333333336,72.84750000000003,80.10833333333333,1.0,1,0,0,0,0,,,none
ZeamMp163,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,8.091666666666667,13.4775,6.0791666666666675,13.021666666666668,20.050833333333333,16.418333333333333,7.223333333333333,22.9375,14.636666666666665,15.665833333333332,1.0,1,0,0,0,0,,,none
ZeamMp175,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,1,1,1,1,1,1,1,1,0,5,0.0,0.0,1.0,0.0,0.0,1.0,1.5591666666666668,220.8525,1.8908333333333327,4.3758333333333335,10.531666666666666,15.445000000000002,2.5975,6.890833333333332,3.103333333333333,4.010833333333333,1.0,1,0,0,0,0,,,none
ZeamMp176,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,8.091666666666667,13.4775,6.0791666666666675,13.021666666666668,20.050833333333333,16.418333333333333,7.223333333333333,22.9375,14.636666666666665,15.665833333333332,1.0,1,0,0,0,0,,,none
ZeamMp178,,,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,1,1,4,1.0,1.0,0.0,1.0,1.0,4.0,6.9608333333333325,17.905833333333334,10.513333333333332,26.834166666666665,0.0,0.0,11.900000000000004,55.41666666666666,13.315,16.745833333333334,1.0,1,0,0,0,0,,,none
ZeamMp179,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,0.0,1.0,0.0,1.0,3.0,2.831666666666667,5.1425,2.5666666666666664,2.668333333333333,4.29,5.6066666666666665,2.4058333333333337,11.166666666666664,3.83,5.1324999999999985,1.0,1,0,0,0,0,,,none
ZeamMp182,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,9.821666666666667,34.00583333333333,11.048333333333336,18.953333333333333,23.8775,29.92083333333333,12.669999999999995,34.62749999999999,9.775,10.449166666666667,1.0,1,0,0,0,0,,,none
ZeamMr001,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,57158.78,60090.359166666676,24530.09333333333,17946.124166666665,130162.53083333332,81093.05666666666,35719.76,51107.46750000001,52403.59916666667,16280.393333333335,1.0,1,0,0,0,0,,,none
