featureID	effect_AUM2073	pval_AUM2073	flag_sig_AUM2073	effect_CB4856	pval_CB4856	flag_sig_CB4856	effect_CX11314	pval_CX11314	flag_sig_CX11314	effect_DL238	pval_DL238	flag_sig_DL238	effect_KJ550	pval_KJ550	flag_sig_KJ550	effect_N2	pval_N2	flag_sig_N2	effect_NS	pval_NS	flag_sig_NS	effect_RB2011	pval_RB2011	flag_sig_RB2011	effect_RB2055	pval_RB2055	flag_sig_RB2055	effect_RB2347	pval_RB2347	flag_sig_RB2347	effect_RB2550	pval_RB2550	flag_sig_RB2550	effect_CM	pval_CM	flag_sig_CM	effect_UGT	pval_UGT	flag_sig_UGT	effect_UGT49	pval_UGT49	flag_sig_UGT49	effect_UGT60	pval_UGT60	flag_sig_UGT60	effect_VC1265	pval_VC1265	flag_sig_VC1265	effect_VC2524	pval_VC2524	flag_sig_VC2524	ms2_id	min_height	mean_sn	max_right_on_left_assymetry	clique	mean_right_on_left_assymetry	isotopic_pattern_annot	min_mz	min_sn	max_rt	mean_rt_cor	raw_isotopic_pattern	rt	min_right_on_left_assymetry	min_rt_cor	mean_peakwidth	mean_mz	min_peakwidth	max_sn	mz	max_height	max_rt_cor	min_rt	mean_height	neutral_mass	num_clustered_ms2	min_intensity	mean_rt	main_peak	max_peakwidth	max_mz	num_detection	annotations	mean_intensity	max_intensity	total_detection	rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks_ppm	medianAbsoluteMassErrorFragmentP	massErrorPrecursor_ppm_	ionMass	retentionTimeInSeconds	id
met_1166	-0.332983	0.538845	0	-0.429172	0.475514	0	-0.796126	0.13374	0	0.159292	0.751381	0	-0.859732	0.137269	0	-0.095325	0.86675	0	-0.275021	0.314676	0	0.191077	0.741525	0	0.421685	0.41742	0	-0.08044	0.863375	0	0.131969	0.798399	0	-0.186991	0.411534	0	0.370033	0.143111	0	-0.129648	0.812362	0	1.914505	0.008601	1	0.138125	0.77421	0	-0.032791	0.947693	0	1264_(e30)	12266.78125	1.0000E+12	4.520380886	51	2.365445542	m|m+1.0037_1c13	464.3146	1.0000E+06	2.49	2.478996409	1.0000|0.0696	2.48	0.55860128	2.464169369	0.172583293	464.3149	0.067406505	1.0000E+12	464.3149	26265838	2.492355951	2.46	3984405.572	465.3221626	1	25343.91352	2.48	[m-h]-	0.263610073	464.3151	198	[m-h]- |[m-h]- +1	11778700.77	72799152.16	198																
met_1168	-0.526693	0.299047	0	-1.206302	0.063076	0	-0.271745	0.659427	0	-0.128628	0.797323	0	0.18165	0.732255	0	-0.052539	0.924945	0	-0.349036	0.22269	0	0.94709	0.136164	0	0.472853	0.344162	0	0.399192	0.410592	0	0.459424	0.358008	0	0.30788	0.172859	0	0.727381	0.004075	1	0.77495	0.198859	0	1.326709	0.041384	1	0.923295	0.067991	0	0.532249	0.286516	0	1542_(e30)	29493.43359	9.9479E+11	5.009487708	51	2.623815246		944.5281	3.9146E+02	2.50	2.485355082		2.49	1.000760811	2.471600093	0.107324305	944.5290	0.065850588	1.0000E+12	944.5290	1434049.125	2.497048827	2.47	405571.0363	945.5363126	1	73619.21686	2.49	[m-h]-	0.152217124	944.5297	192	[m-h]- |[m-h]- +1	1036153.328	3802184.302	192																
met_1199	-0.042904	0.929952	0	-0.275672	0.637528	0	0.241273	0.637357	0	0.151213	0.771344	0	-1.397114	0.021066	1	-0.385999	0.481427	0	-0.044317	0.86943	0	0.158216	0.785631	0	-0.17457	0.722212	0	-0.515783	0.281105	0	0.420968	0.418301	0	-0.501511	0.027883	1	0.005881	0.980738	0	-0.592881	0.290632	0	0.237068	0.687424	0	-1.03436	0.042345	1	0.143169	0.772397	0	1667_(e30)	10376.74512	9.9000E+11	4.403493762	54	2.388967275		498.2627	2.3554E+03	1.54	1.470259854		1.47	0.651779367	1.449684402	0.217452143	498.2630	0.079539483	1.0000E+12	498.2630	24228230	1.541236189	1.45	2378230.795	499.2702326	1	28770.92351	1.47	[m-h]-	0.303427613	498.2632	200	[m-h]- |[m-h]- +1|[m-h]- +2	10872726.79	102826943.6	200																
met_1212	-0.562018	0.289673	0	0.122304	0.83331	0	-0.456879	0.370324	0	0.559183	0.27723	0	-0.775193	0.180027	0	-0.132399	0.806764	0	0.018931	0.943542	0	0.314412	0.589383	0	-0.424199	0.393061	0	0.163126	0.741928	0	0.05812	0.908832	0	-0.444813	0.053244	0	0.002305	0.992421	0	0.047627	0.932771	0	0.154212	0.790604	0	-0.684002	0.160381	0	-0.461025	0.353169	0	1382_(e30)	15629.13379	6.7347E+11	4.006686861	55	1.929344377		902.5185	5.1002E+01	2.37	2.353075495		2.35	0.110698739	2.341644056	0.213398803	902.5192	0.085397783	1.0000E+12	902.5192	7444045.5	2.370263417	2.34	2486044.391	867.5498461	1	90517.81198	2.35	[m+cl]-	0.252068538	902.5198	196	[m-h]-|[2m-h+cl]2- |[2m-h+cl]2- +1|[m+cl]- |[m+cl]- +1	11569474.47	37239207.14	196																
met_1215	-0.270547	0.593736	0	0.741997	0.223377	0	-0.334874	0.512745	0	1.041049	0.059119	0	-0.594223	0.277447	0	-0.308789	0.567873	0	0.233214	0.396434	0	0.184166	0.751709	0	-0.472965	0.351811	0	0.749993	0.161632	0	0.645629	0.20755	0	-0.15968	0.486053	0	0.198013	0.418684	0	0.001613	0.997661	0	0.776382	0.198811	0	-0.295672	0.532093	0	-0.335579	0.509977	0	486_(e30)	18890.67773	9.9471E+11	2.746846979	55	0.908317881		770.4597	1.0603E+03	2.36	2.34137905		2.34	0.265357621	2.329884692	0.215795219	770.4618	0.076191715	1.0000E+12	770.4619	1105768.5	2.356236527	2.33	322746.1958	771.4691744	1	82805.04085	2.34	[m-h]-	0.320887586	770.4623	189	[m-h]- |[m-h]- +1|[m-h]- +2	1386196.912	4653399.86	189	442	C17H32N2O4	[M - H]-	C17H32N2O4	0.996482412	9.253635711	9.253635711	0	2	0.303858521	-4.438796975	4.438796975	0.516299102	327.2291	83.33	486_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime83.33scanNumNAprec
met_122	-0.175523	0.723564	0	-2.137642	0.005867	1	-0.489706	0.413815	0	1.205946	0.033324	1	-0.869824	0.144298	0	0.312824	0.569891	0	-0.011689	0.969272	0	1.183336	0.068268	0	-0.319086	0.516717	0	1.353984	0.011655	1	-0.047919	0.923171	0	0.075261	0.74296	0	0.036905	0.880426	0	-0.25632	0.650335	0	0.040016	0.945357	0	0.193603	0.681441	0	-0.236004	0.631019	0	251_(e30)	12189.60352	3.2710E+10	3.001527959	6	1.730612777		726.5445	3.2172E+01	5.81	5.782296292		5.79	0.223081453	5.74768594	0.313999382	726.5456	0.107270187	1.0000E+12	726.5457	105773320	5.807204937	5.75	55239941.33	727.552984	1	38777.31108	5.78	[m-h]-	0.429495059	726.5461	214	[m-h]- |[m-h]- +1|[m-h]- +2|[m-h]- +3|[m-h]- +4|[2m-h]-|[2m-2h+na]-	298571160.4	544587197.4	214	762	C44H89NO6	[M - H]-	C44H89NO6	0.822613065	1	1	0	1	0	NaN	NaN	-2.495136871	726.6599	426.84	251_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime426.84scanNumNApre
met_124	0.320126	0.518023	0	-1.255554	0.078148	0	0.83155	0.166747	0	1.491227	0.017928	1	-1.070548	0.063564	0	0.694628	0.215067	0	0.555436	0.072727	0	0.541903	0.370724	0	2.165875	0.000901	1	0.876315	0.077763	0	0.954479	0.079647	0	0.562501	0.020565	1	1.533048	0	1	2.627742	0.000829	1	2.49254	0.002633	1	2.90366	0.00007	1	0.620469	0.217935	0	391_(e30)	11866.16309	8.0402E+10	3.002264215	6	1.528755915		752.5595	4.7201E+01	5.81	5.781561015		5.78	0.624547188	5.714366582	0.191634315	752.5598	0.086674867	1.0000E+12	752.5598	8597231	5.809391941	5.71	3895191.777	753.5670778	1	39502.78048	5.78	[m-h]-	0.289544876	752.5605	199	[m-h]- |[m-h]- +1|[m-h]- +2	24553721.79	58286016.31	199	420	C43H80NO7P	[M - H]-	C43H80NO7P	0.99798995	36.73510733	36.73510733	0	15	0.855026498	-4.271531978	4.271531978	1.509408459	752.5611	334.3	391_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime334.3scanNumNAprec
met_1271	-0.403873	0.416557	0	-0.123821	0.830895	0	-1.891158	0.007508	1	0.133973	0.797689	0	-0.546642	0.317408	0	0.032207	0.952514	0	-0.294298	0.30692	0	0.273416	0.648541	0	0.114716	0.814828	0	0.814499	0.133182	0	0.299358	0.543461	0	-0.184066	0.421891	0	0.298264	0.219302	0	0.569318	0.326123	0	0.306217	0.600768	0	-0.084664	0.858644	0	-0.637069	0.212899	0	625_(e30)	21735.41602	1.1579E+03	3.437248102	57	1.65645849	m|m+0.3309_1c13	355.3217	1.6545E+01	3.52	3.508388933	1.0000|0.0000	3.51	0.799362848	3.495781799	0.215399456	355.3219	0.124607278	4.6861E+03	355.3219	8652157	3.524925208	3.50	2333701.278	356.3291515	1	84160.93652	3.51	[m-h]-	0.377665272	355.3220	191	[m-h]- |[m-h]- +1|[m-h]- +2	11015381.71	43184352.44	191	923	C46H81NO9	[M - H]-	C46H81NO9	0.525125628	8.563785539	8.563785539	0	4	0.177383592	-2.734739293	2.734739293	1.952072592	790.5854	162.11	625_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime162.11scanNumNApre
met_1273	0.236015	0.649077	0	-0.258902	0.663976	0	0.326031	0.539281	0	0.000032	0.999949	0	0.220126	0.685805	0	-0.448411	0.41067	0	-0.079096	0.769835	0	-0.269849	0.64238	0	0.566637	0.257956	0	-0.958858	0.06114	0	-0.47606	0.34938	0	-0.165833	0.464823	0	-0.3122	0.214775	0	-0.908688	0.164959	0	-0.918388	0.135431	0	-0.372796	0.430838	0	0.118111	0.812041	0	221_(e30)	13202.71289	9.8990E+11	3.117305775	57	1.031875536		722.4764	5.6211E+02	3.53	3.515806073		3.52	0.437570831	3.477402786	0.239340394	722.4773	0.08681051	1.0000E+12	722.4773	12958293	3.526557591	3.48	2761188.612	723.4845845	1	47540.47642	3.52	[m-h]-	0.374025787	722.4778	198	[m-h]- |[m-h]- +1|[m-h]- +2|[m-h]- +3	11699824.55	50104119.1	198	716	C7H14NO7PS	[M - H]-	C7H14NO7PS	0.865829146	7.994182619	7.994182619	0	5	0.131801866	-3.342403703	3.342403703	0.409187645	286.0157	48.31	221_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime48.31scanNumNAprec
met_1274	0.387873	0.479463	0	-2.580895	0.002829	1	-0.999609	0.073872	0	-1.762501	0.005397	1	1.367816	0.022595	1	-0.138142	0.797492	0	-1.099361	0.000373	1	-0.984197	0.114933	0	-0.212712	0.668062	0	-0.733604	0.196641	0	-0.360753	0.467969	0	0.048982	0.839341	0	-0.8606	0.001417	1	-1.595689	0.022206	1	-3.636456	0.000241	1	-0.810754	0.101159	0	0.347567	0.495671	0	436_(e30)	20927.04492	9.8990E+11	4.286324583	57	1.370780048		760.4923	8.4390E+03	3.52	3.505078232		3.51	0.422183103	3.489388622	0.270610669	760.4927	0.106135011	1.0000E+12	760.4927	10079269	3.517327884	3.49	4600451.904	761.4999877	1	64352.77718	3.51	[m-h]-	0.430013979	760.4932	198	[m-h]- |[m-h]- +1|[m-h]- +2	20362891.32	48316191.86	198	395	C40H76NO10P	[M - H]-	C40H76NO10P	0.998994975	61.77389845	61.77389845	0	24	0.905096031	-3.903635898	3.903635898	2.093568293	760.515	182.51	436_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime182.51scanNumNApre
met_1313	0.489741	0.372913	0	-0.622203	0.333924	0	0.2511	0.621633	0	-0.784656	0.154256	0	0.844152	0.128703	0	-0.090386	0.866776	0	-0.263405	0.341957	0	-0.479062	0.419575	0	0.212471	0.666293	0	-0.853064	0.140984	0	-0.348993	0.481928	0	0.21767	0.3592	0	-0.445567	0.077413	0	-0.662558	0.293827	0	-1.576037	0.02	1	-0.186108	0.697048	0	0.74515	0.144212	0	564_(e30)	115036.2266	9.3367E+11	3.50049237	59	2.238454458		782.4767	6.2579E+02	3.11	3.098231836		3.10	1.141004101	3.086944617	0.175155521	782.4772	0.095535139	1.0000E+12	782.4772	7046007	3.108192467	3.09	2849363.213	783.4844762	1	359527.5333	3.10	[m-h]-	0.234327044	782.4777	196	[m-h]- |[m-h]- +1|[m-h]- +2	9251884.163	22870753.12	196	2	C42H74NO10P	[M - H]-	C42H74NO10P	1	113.1633121	113.1633121	0	34	0.790085205	-3.564023857	3.564023857	1.204160583	782.4987	174.12	564_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime174.12scanNumNApre
met_1314	0.133804	0.800961	0	-0.297538	0.652093	0	0.313652	0.548678	0	-0.95253	0.103125	0	0.607363	0.265303	0	0.176247	0.747335	0	-0.142085	0.61939	0	-0.419551	0.47636	0	-0.158186	0.746438	0	-0.977392	0.055222	0	-0.073547	0.882663	0	-0.015977	0.943876	0	-0.382481	0.121821	0	-0.61557	0.309843	0	-0.946238	0.130451	0	-0.077834	0.868445	0	0.311335	0.527119	0	1039_(e30)	10505.91211	1.3044E+11	1.788837213	59	1.078092668		846.5290	7.0048E+02	3.11	3.098386214		3.10	0.22023575	3.060118486	0.302220066	846.5299	0.095841192	1.0000E+12	846.5300	64504272	3.112486399	3.06	19976517.47	847.537236	1	36800.55933	3.10	[m-h]-	0.394110557	846.5305	207	[m-h]- |[m-h]- +1|[m-h]- +2|[m-h]- +3|[m-h]- +4	99200192.73	326485285.9	207	1348	C58H73NO4	[M - H]-	C58H73NO4	0.165829146	1	1	0	1	0	NaN	NaN	3.327195977	846.5495	270.27	1039_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime270.27scanNumNApre
met_1328	0.388808	0.445946	0	-1.444228	0.032223	1	0.667268	0.211564	0	-0.755739	0.153332	0	0.035955	0.945629	0	-0.432375	0.445554	0	-0.394012	0.165529	0	-1.133706	0.079126	0	0.366222	0.459026	0	-0.508851	0.291022	0	0.451176	0.372345	0	0.33094	0.144723	0	-0.047976	0.84669	0	-0.65708	0.258347	0	0.216039	0.713629	0	1.043533	0.040309	1	0.777576	0.128898	0		19249.35352	9.7938E+10	2.798200537	59	1.211183427		809.5171	1.8846E+01	3.12	3.113955295		3.11	0.453779249	3.101209186	0.215507142	809.5177	0.122228032	1.0000E+12	809.5177	2416151.75	3.124043749	3.10	972422.4939	810.5249949		117717.5845	3.11	[m-h]-	0.328772725	809.5181	194	[m-h]-	3591324.365	8098649.982	194																
met_133	-0.114747	0.815258	0	4.037107	0.00038	1	0.168306	0.737183	0	0.439804	0.423081	0	0.592496	0.282553	0	1.50729	0.017777	1	0.852271	0.005656	1	1.010695	0.106825	0	-0.225959	0.651806	0	0.220419	0.640204	0	1.089908	0.045843	1	0.217755	0.329053	0	0.781163	0.002585	1	1.694314	0.009869	1	0.885347	0.148117	0	0.625073	0.209572	0	-0.147367	0.764616	0	2219_(e30)	63144.96484	1.0000E+12	4.002288726	6	1.324493327		640.5524	1.0000E+06	5.87	5.788489136		5.79	0.532507461	5.727791513	0.254389093	640.5528	0.121703169	1.0000E+12	640.5528	2678115	5.869848158	5.73	636640.4202	641.5600726	1	457237.0114	5.79	[m-h]-	0.339887292	640.5531	196	[m-h]-	4391870.436	20383770.01	197	24	C39H79NO5	[M - H]-	C39H79NO5	1	59.50671393	59.50671393	0	14	0.749230138	-2.917493694	3.499256221	1.79806839	640.5897	375.6	2219_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime375.6scanNumNAprec
