primary_fbgn,symbol,chrom,start,end,strand,upstream_start,upstream_end,motif_count,motif_positions,motif_eval
FBgn0058263,MFS17,2RHet,1265405,1336048,-,1263405,1338048,9,1265765;1270241;1279936;1283707;1288143;1298626;1328827;1335107;1335611,4.6e-09;1.5e-10;4.6e-09;4.0e-10;4.6e-09;2.6e-09;2.6e-09;4.6e-09;2.6e-09
FBgn0046706,Haspin,2RHet,3199376,3234607,+,3197376,3236607,10,3203680;3203899;3210999;3214372;3215386;3224598;3231328;3233477;3233597;3236046,2.6e-09;2.6e-09;3.5e-10;2.6e-09;4.6e-09;1.5e-10;4.6e-09;2.6e-09;3.5e-10;2.6e-09
FBgn0085786,CR41501,2RHet,2316695,2318206,-,2314695,2320206,0,,
FBgn0264834,CR44042,2RHet,474800,475800,-,472800,477800,0,,
FBgn0020660,eIF-4B,2RHet,2901758,2917360,+,2899758,2919360,7,2901298;2901516;2902575;2902659;2907120;2908408;2915386,2.6e-09;1.5e-10;4.6e-09;3.5e-10;4.6e-09;2.6e-09;2.6e-09
FBgn0262123,l(2)41Ab,2RHet,476025,570568,+,474025,572568,12,483037;489182;492880;494673;529131;534987;539731;548736;554336;570311;571689;572128,4.6e-09;2.6e-09;2.6e-09;3.5e-10;3.5e-10;3.5e-10;1.5e-10;2.6e-09;4.0e-10;4.6e-09;2.6e-09;4.0e-10
FBgn0263780,CG17684,2RHet,609150,1005217,-,607150,1007217,94,607812;612881;614527;615568;618557;619556;627726;636211;639262;649194;651875;655464;655564;657404;662037;680641;683826;683867;684627;685688;689124;691454;691635;695939;710770;711854;717995;731581;731804;732432;738035;740240;740253;742525;743874;749153;753059;756696;777442;777880;787746;802240;815858;815871;817434;819798;820415;821208;825445;826058;829368;830398;830578;832584;839025;840513;846167;848621;850451;856741;865178;869631;870749;875931;878765;878884;884239;886517;889896;906127;912974;915859;915961;916157;918302;918908;923122;923273;935146;954339;955593;957618;960839;960974;964141;966590;966705;969871;972504;975674;978304;981471;986071;996967,3.5e-10;2.6e-09;1.5e-10;4.6e-09;4.6e-09;4.6e-09;4.6e-09;4.6e-09;2.6e-09;4.6e-09;2.6e-09;2.6e-09;2.6e-09;4.0e-10;1.5e-10;5.9e-09;1.5e-10;2.6e-09;4.6e-09;4.0e-10;1.5e-10;4.0e-10;2.6e-09;5.9e-09;4.6e-09;4.6e-09;4.6e-09;5.9e-09;4.6e-09;4.0e-10;4.6e-09;4.6e-09;4.6e-09;1.5e-10;3.5e-10;3.5e-10;1.5e-10;1.5e-10;4.0e-10;2.6e-09;4.6e-09;4.6e-09;4.6e-09;4.6e-09;3.5e-10;3.5e-10;4.0e-10;2.6e-09;2.6e-09;4.6e-09;4.6e-09;2.6e-09;1.5e-10;2.6e-09;5.9e-09;5.9e-09;3.5e-10;4.0e-10;5.9e-09;4.6e-09;4.6e-09;2.6e-09;4.6e-09;3.5e-10;3.5e-10;4.6e-09;5.9e-09;4.6e-09;1.5e-10;4.6e-09;4.6e-09;4.6e-09;4.6e-09;3.5e-10;3.5e-10;3.5e-10;4.0e-10;4.0e-10;3.5e-10;4.6e-09;4.0e-10;3.5e-10;3.5e-10;1.5e-10;4.6e-09;3.5e-10;1.5e-10;4.6e-09;1.5e-10;4.6e-09;1.5e-10;4.6e-09;2.6e-09;2.6e-09
FBgn0085732,CR40190,2RHet,337700,340299,+,335700,342299,0,,
FBgn0069969,CG40498,2RHet,52811,77966,-,50811,79966,5,53669;53809;71704;77557;78848,4.6e-09;1.5e-10;2.6e-09;4.6e-09;4.6e-09
FBgn0039959,CG17514,2RHet,2775853,2821208,+,2773853,2823208,8,2778200;2781008;2783151;2783174;2783885;2798754;2800083;2819533,5.9e-09;4.6e-09;3.5e-10;4.6e-09;3.5e-10;2.6e-09;5.9e-09;4.0e-10
FBgn0058191,CG40191,2RHet,390773,394309,+,388773,396309,3,391002;392654;392792,2.6e-09;4.6e-09;5.9e-09
FBgn0085582,CG41257,2RHet,197371,198033,-,195371,200033,3,196867;199285;199323,4.6e-09;5.9e-09;4.6e-09
FBgn0058100,CR40100,2RHet,1142083,1142586,+,1140083,1144586,0,,
FBgn0260469,CR14578,2RHet,2909278,2910803,-,2907278,2912803,1,2908408,2.6e-09
FBgn0003256,rl,2RHet,198176,251950,+,196176,253950,13,196867;199285;199323;203182;210607;213441;213560;216346;219323;232659;236053;237742;240513,4.6e-09;5.9e-09;4.6e-09;4.6e-09;3.5e-10;3.5e-10;4.6e-09;3.5e-10;4.6e-09;2.6e-09;1.5e-10;4.0e-10;1.5e-10
FBgn0085570,CR41243,2RHet,2128429,2129735,+,2126429,2131735,0,,
FBgn0043842,Yeti,2RHet,470785,471752,-,468785,473752,1,472106,4.6e-09
FBgn0085512,RYamide,2RHet,2454199,2454618,+,2452199,2456618,1,2456036,4.6e-09
FBgn0261505,CR42653,2RHet,334049,335945,+,332049,337945,1,335154,1.5e-10
FBgn0264835,CR44043,2RHet,495547,498101,-,493547,500101,1,494673,3.5e-10
FBgn0262124,uex,2RHet,3136443,3181418,-,3134443,3183418,10,3134981;3154288;3157392;3158251;3166897;3167303;3167960;3176893;3178166;3183214,2.6e-09;4.6e-09;2.6e-09;2.6e-09;4.6e-09;5.9e-09;5.9e-09;2.6e-09;4.6e-09;4.6e-09
FBgn0020908,Scp1,2RHet,1707564,1743021,-,1705564,1745021,12,1705911;1717944;1720865;1722857;1728577;1730271;1732467;1736802;1736881;1738238;1741729;1743160,4.0e-10;5.9e-09;4.6e-09;4.6e-09;4.0e-10;4.0e-10;4.0e-10;4.6e-09;3.5e-10;3.5e-10;4.6e-09;3.5e-10
FBgn0262204,mir-2279,2RHet,1322833,1322945,-,1320833,1324945,0,,
FBgn0260995,CG42596,2RHet,1849561,1974073,+,1847561,1976073,19,1849564;1851113;1861303;1867091;1888115;1894594;1896755;1899985;1900798;1906468;1909577;1912158;1916530;1918045;1938924;1969887;1970594;1973732;1974620,2.6e-09;5.9e-09;2.6e-09;3.5e-10;3.5e-10;4.6e-09;2.6e-09;3.5e-10;4.6e-09;4.6e-09;3.5e-10;4.6e-09;4.6e-09;2.6e-09;2.6e-09;1.5e-10;4.6e-09;5.9e-09;2.6e-09
FBgn0058461,CR40461,2RHet,2387787,2388177,-,2385787,2390177,1,2388681,4.0e-10
FBgn0263766,CR43683,2L,9961018,9962104,+,9959018,9964104,1,9963679,5.9e-09
FBgn0261992,CG42810,2L,13459773,13460183,+,13457773,13462183,1,13461162,1.5e-10
FBgn0010583,dock,2L,825969,833241,+,823969,835241,1,833003,2.6e-09
FBgn0040519,CG15219,2L,22104891,22105512,-,22102891,22107512,0,,
FBgn0032906,RPA2,2L,20924975,20926147,-,20922975,20928147,0,,
FBgn0031971,Sirup,2L,7998934,7999743,+,7996934,8001743,1,7998131,4.6e-09
FBgn0031321,Tgt,2L,1184065,1185698,+,1182065,1187698,0,,
FBgn0262425,mir-288,2L,20618366,20618462,-,20616366,20620462,1,20620443,4.6e-09
FBgn0040725,CG13946,2L,776536,776892,+,774536,778892,0,,
FBgn0053315,CR33315,2L,19074992,19075412,-,19072992,19077412,1,19077398,4.6e-09
FBgn0032775,CG17544,2L,19390369,19398493,-,19388369,19400493,1,19398617,3.5e-10
FBgn0031885,Mnn1,2L,7056301,7063586,+,7054301,7065586,2,7054650;7055789,3.5e-10;3.5e-10
FBgn0031464,Duox,2L,2815970,2830248,-,2813970,2832248,6,2817076;2821594;2823542;2825212;2826662;2831815,2.6e-09;5.9e-09;3.5e-10;2.6e-09;4.6e-09;2.6e-09
FBgn0020503,CLIP-190,2L,17384700,17409698,+,17382700,17411698,1,17408348,4.6e-09
FBgn0032160,CG4598,2L,9918618,9920120,+,9916618,9922120,0,,
FBgn0015803,RtGEF,2L,20350434,20365254,+,20348434,20367254,1,20367010,3.5e-10
FBgn0028979,tio,2L,22019208,22025734,+,22017208,22027734,1,22017870,2.6e-09
FBgn0032462,CG16800,2L,12966590,12967810,+,12964590,12969810,1,12965658,2.6e-09
FBgn0031420,CG9866,2L,2375841,2380506,+,2373841,2382506,1,2381034,2.6e-09
FBgn0051717,CG31717,2L,10250737,10251714,+,10248737,10253714,0,,
FBgn0032127,CG13114,2L,9545811,9547424,+,9543811,9549424,1,9548233,4.6e-09
FBgn0053869,His4:CG33869,2L,21534085,21534610,-,21532085,21536610,1,21536041,4.6e-09
FBgn0031751,CG9016,2L,5922876,5923653,-,5920876,5925653,1,5924849,2.6e-09
FBgn0031488,CG17265,2L,2999286,3016069,+,2997286,3018069,2,3009825;3010137,4.6e-09;2.6e-09
FBgn0001142,Gs1,2L,132077,134472,+,130077,136472,0,,
FBgn0032670,CG5783,2L,18156043,18157162,+,18154043,18159162,0,,
FBgn0032402,CG14945,2L,12049418,12052049,+,12047418,12054049,2,12048353;12051737,1.5e-10;3.5e-10
FBgn0004419,me31B,2L,10239341,10242172,+,10237341,10244172,1,10242377,2.6e-09
FBgn0263869,CR43716,2L,4582250,4582968,-,4580250,4584968,1,4582288,4.6e-09
FBgn0053892,His2B:CG33892,2L,21477461,21478055,-,21475461,21480055,0,,
FBgn0067312,CheB38a,2L,20817815,20818532,-,20815815,20820532,2,20819427;20819993,3.5e-10;1.5e-10
FBgn0032196,CG5708,2L,10224664,10226808,-,10222664,10228808,1,10224838,2.6e-09
FBgn0053879,His4:CG33879,2L,21509422,21509834,-,21507422,21511834,1,21511423,4.6e-09
FBgn0031390,tho2,2L,2137350,2145187,-,2135350,2147187,0,,
FBgn0263079,CG43338,2L,18666892,18671187,-,18664892,18673187,0,,
FBgn0032646,CG6412,2L,17499268,17501106,-,17497268,17503106,0,,
FBgn0053729,snmRNA:430:CR33729,2L,21453073,21453108,+,21451073,21455108,0,,
FBgn0029173,fu2,2L,8464488,8466694,+,8462488,8468694,0,,
FBgn0021874,Nle,2L,566366,568121,-,564366,570121,0,,
FBgn0003930,snRNA:U4:39B,2L,21215036,21215178,-,21213036,21217178,0,,
FBgn0031632,CG15628,2L,4821774,4828945,+,4819774,4830945,1,4823793,2.6e-09
FBgn0083031,snoRNA:Psi18S-525h,2L,20421304,20421438,+,20419304,20423438,1,20421434,4.0e-10
FBgn0040510,ACXA,2L,12921091,12925453,+,12919091,12927453,0,,
FBgn0017457,U2af38,2L,292959,294681,-,290959,296681,0,,
FBgn0000442,Pkg21D,2L,786153,790798,-,784153,792798,0,,
FBgn0000053,ade3,2L,7014623,7023940,-,7012623,7025940,2,7020900;7022021,2.6e-09;2.6e-09
FBgn0032365,CG14929,2L,11519832,11521444,+,11517832,11523444,0,,
FBgn0032311,CG12517,2L,10870167,10870722,+,10868167,10872722,0,,
FBgn0031902,Wnt6,2L,7333714,7352542,+,7331714,7354542,4,7351700;7351781;7353374;7354314,4.6e-09;3.5e-10;4.6e-09;5.9e-09
FBgn0031554,CG15418,2L,3621110,3621681,-,3619110,3623681,1,3623266,1.5e-10
FBgn0259959,Sfp26Ac,2L,5884350,5884774,-,5882350,5886774,1,5885661,2.6e-09
FBgn0263049,let-7-C,2L,18455717,18473132,+,18453717,18475132,5,18465214;18467997;18470743;18470918;18471825,2.6e-09;4.6e-09;4.6e-09;4.6e-09;2.6e-09
FBgn0051898,CG31898,2L,8400457,8401477,+,8398457,8403477,1,8400036,3.5e-10
FBgn0031701,TotM,2L,5329857,5330464,+,5327857,5332464,1,5328476,1.5e-10
FBgn0265153,CR44222,2L,223519,224708,+,221519,226708,0,,
FBgn0264087,Slob,2L,7642005,7675078,-,7640005,7677078,10,7641851;7644840;7652508;7653697;7657532;7661823;7669374;7671728;7673274;7675659,3.5e-10;4.0e-10;1.5e-10;5.9e-09;4.6e-09;2.6e-09;2.6e-09;3.5e-10;4.6e-09;1.5e-10
FBgn0264873,CR44064,2L,1500830,1504204,+,1498830,1506204,0,,
FBgn0053809,His3:CG33809,2L,21435299,21435827,+,21433299,21437827,1,21436706,4.6e-09
FBgn0041627,Ku80,2L,15768630,15771159,-,15766630,15773159,2,15770457;15771945,2.6e-09;4.6e-09
FBgn0040070,Trx-2,2L,9613166,9616404,+,9611166,9618404,2,9613465;9616185,1.5e-10;4.6e-09
FBgn0032295,CG12299,2L,10737345,10740762,+,10735345,10742762,1,10740132,2.6e-09
FBgn0002931,net,2L,82421,87387,-,80421,89387,1,84732,2.6e-09
FBgn0032704,Jwa,2L,18704570,18705703,-,18702570,18707703,2,18705125;18706035,5.9e-09;4.6e-09
FBgn0032587,CG5953,2L,16508078,16532877,-,16506078,16534877,7,16509462;16509871;16511622;16514782;16518043;16527157;16533985,1.5e-10;3.5e-10;2.6e-09;1.5e-10;3.5e-10;3.5e-10;2.6e-09
FBgn0083970,CG34134,2L,8190297,8190781,-,8188297,8192781,0,,
FBgn0259683,Ir40a,2L,22189526,22214376,-,22187526,22216376,7,22189448;22189472;22195224;22197249;22202609;22204633;22210263,4.6e-09;4.6e-09;4.0e-10;3.5e-10;2.6e-09;1.5e-10;1.5e-10
FBgn0025683,CG3164,2L,122624,130791,-,120624,132791,0,,
FBgn0263200,Galt,2L,6666264,6668033,-,6664264,6670033,1,6666267,2.6e-09
FBgn0261804,CG42750,2L,18160421,18275770,-,18158421,18277770,12,18185561;18223215;18229774;18237333;18245054;18245309;18250768;18256262;18257261;18261580;18270399;18273069,4.6e-09;2.6e-09;2.6e-09;3.5e-10;2.6e-09;5.9e-09;4.6e-09;4.6e-09;3.5e-10;2.6e-09;2.6e-09;4.6e-09
FBgn0260428,CG42523,2L,4762937,4763951,+,4760937,4765951,0,,
FBgn0032856,CG16798,2L,20376981,20382356,-,20374981,20384356,1,20383212,2.6e-09
FBgn0001986,l(2)35Df,2L,15752253,15755905,+,15750253,15757905,0,,
FBgn0265607,beat-IIIa,2L,17131024,17173118,+,17129024,17175118,9,17131224;17131828;17134239;17135207;17140563;17160294;17168077;17171087;17171996,4.6e-09;2.6e-09;3.5e-10;4.0e-10;4.6e-09;2.6e-09;2.6e-09;4.6e-09;3.5e-10
FBgn0027550,CG6495,2L,10761116,10764971,+,10759116,10766971,1,10765006,2.6e-09
FBgn0265816,CR44605,2L,18003368,18003616,+,18001368,18005616,1,18005053,4.6e-09
FBgn0051615,His-Psi:CR31615,2L,21404963,21405361,+,21402963,21407361,0,,
FBgn0019686,lok,2L,20061477,20064381,+,20059477,20066381,2,20062697;20064295,2.6e-09;3.5e-10
FBgn0000287,salr,2L,11358873,11373636,+,11356873,11375636,6,11359482;11359939;11359948;11360954;11369689;11371301,1.5e-10;2.6e-09;2.6e-09;4.0e-10;1.5e-10;2.6e-09
FBgn0264441,CR43859,2L,11205528,11206092,-,11203528,11208092,2,11206350;11206471,4.6e-09;4.6e-09
FBgn0053870,His2B:CG33870,2L,21532461,21533055,-,21530461,21535055,1,21530996,4.6e-09
FBgn0032988,Tif-IA,2L,22249876,22258260,+,22247876,22260260,2,22248522;22256938,2.6e-09;4.6e-09
FBgn0031987,CG12375,2L,8125668,8126890,-,8123668,8128890,1,8127557,2.6e-09
FBgn0002936,ninaA,2L,877302,878270,+,875302,880270,0,,
FBgn0032618,CG31743,2L,16879517,16886319,+,16877517,16888319,4,16880711;16883178;16884512;16884737,4.0e-10;4.6e-09;2.6e-09;4.6e-09
FBgn0000351,cort,2L,6674682,6676635,-,6672682,6678635,3,6674201;6674710;6678631,3.5e-10;4.6e-09;4.6e-09
FBgn0031881,CG3476,2L,7027526,7028959,+,7025526,7030959,0,,
FBgn0032790,CG10194,2L,19488682,19490104,-,19486682,19492104,0,,
FBgn0261628,CG42711,2L,13930593,13931224,-,13928593,13933224,2,13931239;13932000,4.0e-10;3.5e-10
FBgn0019932,SamDC,2L,10339457,10341503,+,10337457,10343503,1,10341082,1.5e-10
FBgn0005779,PpD6,2L,3109672,3110998,+,3107672,3112998,1,3110883,3.5e-10
FBgn0032032,CG17294,2L,8377035,8378206,+,8375035,8380206,0,,
FBgn0027559,Pol32,2L,15254819,15256304,-,15252819,15258304,0,,
FBgn0003502,Btk29A,2L,8258755,8301079,-,8256755,8303079,15,8261208;8265310;8266322;8267584;8267822;8277832;8283574;8286216;8288841;8290592;8291938;8293845;8299685;8302390;8302400,2.6e-09;4.6e-09;4.6e-09;1.5e-10;5.9e-09;1.5e-10;4.6e-09;4.6e-09;2.6e-09;4.6e-09;2.6e-09;1.5e-10;4.6e-09;1.5e-10;3.5e-10
FBgn0085191,CG34162,2L,11531820,11533756,+,11529820,11535756,2,11530282;11534350,3.5e-10;1.5e-10
FBgn0031426,CG18641,2L,2410624,2415322,-,2408624,2417322,1,2408802,4.6e-09
FBgn0026324,Taf10b,2L,2767286,2767845,-,2765286,2769845,1,2766294,5.9e-09
FBgn0265674,CR44481,2L,11665241,11665810,+,11663241,11667810,1,11665864,4.6e-09
FBgn0265579,CG44406,2L,16981867,16982301,-,16979867,16984301,0,,
FBgn0031628,CG3294,2L,4794549,4796581,+,4792549,4798581,0,,
FBgn0031545,CG3213,2L,3517273,3519651,-,3515273,3521651,1,3517985,3.5e-10
FBgn0003934,snRNA:U5:23D,2L,3048701,3048831,+,3046701,3050831,1,3046702,2.6e-09
FBgn0054043,CG34043,2L,10278951,10280872,-,10276951,10282872,3,10277877;10279480;10281416,4.6e-09;2.6e-09;5.9e-09
FBgn0051864,Qtzl,2L,11995740,11996723,+,11993740,11998723,0,,
FBgn0031968,CG7231,2L,7983946,7986785,+,7981946,7988785,0,,
FBgn0032359,Osi21,2L,11284327,11285706,-,11282327,11287706,0,,
FBgn0032450,CG5776,2L,12700949,12704451,-,12698949,12706451,0,,
FBgn0262272,mir-1002,2L,13747609,13747697,-,13745609,13749697,0,,
FBgn0031573,CG3407,2L,3810801,3813410,-,3808801,3815410,0,,
FBgn0053922,CG33922,2L,1343443,1344171,-,1341443,1346171,0,,
FBgn0051820,CG31820,2L,16005789,16006279,-,16003789,16008279,1,16004207,4.6e-09
FBgn0010407,Ror,2L,10251843,10254686,+,10249843,10256686,0,,
FBgn0051933,CG31933,2L,1821256,1823331,-,1819256,1825331,0,,
FBgn0261790,SmE,2L,7884932,7885425,-,7882932,7887425,0,,
FBgn0032754,CG10700,2L,19077276,19079028,-,19075276,19081028,1,19077398,4.6e-09
FBgn0263321,CG43402,2L,1442726,1443316,+,1440726,1445316,0,,
FBgn0031710,CG7371,2L,5521281,5523877,-,5519281,5525877,1,5521379,4.6e-09
FBgn0265996,CR44771,2L,15159508,15160126,-,15157508,15162126,3,15157906;15159301;15159474,1.5e-10;4.6e-09;3.5e-10
FBgn0020270,mre11,2L,11282090,11284335,+,11280090,11286335,0,,
FBgn0262191,mir-2497,2L,16678240,16678335,+,16676240,16680335,0,,
FBgn0032818,CG10628,2L,19757243,19758613,-,19755243,19760613,1,19757067,4.0e-10
FBgn0032135,GlcAT-S,2L,9616469,9623109,+,9614469,9625109,4,9616185;9619904;9621035;9621095,4.6e-09;3.5e-10;2.6e-09;2.6e-09
FBgn0051892,tRNA:CR31892,2L,8482084,8482155,-,8480084,8484155,0,,
FBgn0262213,mir-2495,2L,5068570,5068684,+,5066570,5070684,0,,
FBgn0031356,CG17660,2L,1707132,1710421,-,1705132,1712421,0,,
FBgn0051660,pog,2L,4852864,4876792,+,4850864,4878792,3,4860531;4878296;4878322,3.5e-10;4.0e-10;4.6e-09
FBgn0031939,CG13796,2L,7727150,7732668,-,7725150,7734668,2,7728197;7732969,5.9e-09;4.6e-09
FBgn0031245,CG3625,2L,283384,291751,-,281384,293751,1,285367,3.5e-10
FBgn0031292,CG15824,2L,878181,885141,-,876181,887141,0,,
FBgn0002985,odd,2L,3604224,3606756,-,3602224,3608756,1,3607825,4.6e-09
FBgn0032001,CG8360,2L,8212959,8214135,+,8210959,8216135,1,8213401,3.5e-10
FBgn0010612,l(2)06225,2L,10975522,10976399,-,10973522,10978399,1,10976491,4.6e-09
FBgn0063392,snoRNA:U14:30Ea,2L,9894205,9894285,-,9892205,9896285,0,,
FBgn0032208,CG5604,2L,10281943,10292278,-,10279943,10294278,2,10281416;10284069,5.9e-09;2.6e-09
FBgn0031305,Iris,2L,1132332,1134098,-,1130332,1136098,0,,
FBgn0032689,CG10413,2L,18599749,18605021,-,18597749,18607021,3,18604165;18604333;18604356,4.6e-09;2.6e-09;3.5e-10
FBgn0031454,CG9960,2L,2758427,2759677,-,2756427,2761677,2,2759231;2759989,4.6e-09;2.6e-09
FBgn0085207,CG34178,2L,4433908,4435057,+,4431908,4437057,3,4433762;4434756;4435674,4.6e-09;4.6e-09;4.0e-10
FBgn0032727,CG10623,2L,18955481,18957169,-,18953481,18959169,0,,
FBgn0025115,Acyp,2L,13912139,13912596,+,13910139,13914596,0,,
FBgn0002121,l(2)gl,2L,9839,21376,-,7839,23376,7,8036;10777;11680;15532;18234;21039;22567,2.6e-09;2.6e-09;1.5e-10;2.6e-09;5.9e-09;5.9e-09;4.6e-09
FBgn0032940,Mio,2L,21286078,21310050,-,21284078,21312050,7,21289585;21295217;21298672;21305453;21305484;21308023;21310387,4.6e-09;4.6e-09;4.6e-09;1.5e-10;4.6e-09;3.5e-10;2.6e-09
FBgn0032303,CG6508,2L,10819107,10820485,+,10817107,10822485,0,,
FBgn0026577,CG8677,2L,21221312,21231694,+,21219312,21233694,2,21224276;21226600,4.0e-10;4.0e-10
FBgn0085210,CG34181,2L,9367640,9368434,+,9365640,9370434,1,9366115,2.6e-09
FBgn0261266,zuc,2L,11988735,11989882,-,11986735,11991882,0,,
FBgn0053888,His2B:CG33888,2L,21487655,21488249,-,21485655,21490249,1,21486191,4.6e-09
FBgn0051874,CG31874,2L,10189820,10191496,-,10187820,10193496,1,10192258,4.6e-09
FBgn0011863,tRNA:G3:35Bb,2L,14518307,14518377,-,14516307,14520377,1,14516634,4.6e-09
FBgn0085212,CG34183,2L,9890061,9890772,-,9888061,9892772,0,,
FBgn0065096,snmRNA:359,2L,19403535,19403568,-,19401535,19405568,0,,
FBgn0014906,Hydr2,2L,3163645,3169462,+,3161645,3171462,4,3164589;3164600;3168669;3169145,3.5e-10;3.5e-10;4.6e-09;4.6e-09
FBgn0031677,CG14036,2L,5054579,5055016,-,5052579,5057016,0,,
FBgn0031822,CG9548,2L,6490155,6490843,-,6488155,6492843,0,,
FBgn0262275,mir-2280,2L,1831685,1831799,-,1829685,1833799,1,1831094,2.6e-09
FBgn0264370,CR43822,2L,3575350,3575806,+,3573350,3577806,0,,
FBgn0063389,snoRNA:Me18S-G1620,2L,9894477,9894544,-,9892477,9896544,0,,
