primary_fbgn,symbol,chrom,start,end,strand,upstream_start,upstream_end,motif_count,motif_positions,motif_eval
FBgn0085786,CR41501,2RHet,2316695,2318206,-,2314695,2320206,0,,
FBgn0264834,CR44042,2RHet,474800,475800,-,472800,477800,0,,
FBgn0020660,eIF-4B,2RHet,2901758,2917360,+,2899758,2919360,1,2906464,1.7e-11
FBgn0262123,l(2)41Ab,2RHet,476025,570568,+,474025,572568,2,549335;566234,1.7e-11;8.0e-12
FBgn0263780,CG17684,2RHet,609150,1005217,-,607150,1007217,19,609557;673239;683673;724093;746733;779189;808836;813992;844250;881073;893654;920597;920753;926544;960594;966345;972124;977927;982198,2.5e-11;2.5e-11;1.7e-11;2.5e-11;2.5e-11;1.7e-11;2.5e-11;2.5e-11;2.5e-11;8.0e-12;1.7e-11;1.7e-11;2.5e-11;1.7e-11;1.7e-11;1.7e-11;1.7e-11;1.7e-11;6.6e-11
FBgn0085732,CR40190,2RHet,337700,340299,+,335700,342299,0,,
FBgn0069969,CG40498,2RHet,52811,77966,-,50811,79966,2,63264;66756,1.7e-11;1.7e-11
FBgn0039959,CG17514,2RHet,2775853,2821208,+,2773853,2823208,5,2793378;2793398;2797857;2806579;2806599,1.7e-11;2.5e-11;8.0e-12;1.7e-11;2.5e-11
FBgn0058191,CG40191,2RHet,390773,394309,+,388773,396309,0,,
FBgn0085582,CG41257,2RHet,197371,198033,-,195371,200033,0,,
FBgn0058100,CR40100,2RHet,1142083,1142586,+,1140083,1144586,0,,
FBgn0260469,CR14578,2RHet,2909278,2910803,-,2907278,2912803,0,,
FBgn0003256,rl,2RHet,198176,251950,+,196176,253950,1,203400,2.5e-11
FBgn0085570,CR41243,2RHet,2128429,2129735,+,2126429,2131735,0,,
FBgn0043842,Yeti,2RHet,470785,471752,-,468785,473752,0,,
FBgn0085512,RYamide,2RHet,2454199,2454618,+,2452199,2456618,0,,
FBgn0261505,CR42653,2RHet,334049,335945,+,332049,337945,0,,
FBgn0264835,CR44043,2RHet,495547,498101,-,493547,500101,0,,
FBgn0262124,uex,2RHet,3136443,3181418,-,3134443,3183418,1,3154025,1.7e-11
FBgn0020908,Scp1,2RHet,1707564,1743021,-,1705564,1745021,1,1713671,2.5e-11
FBgn0262204,mir-2279,2RHet,1322833,1322945,-,1320833,1324945,0,,
FBgn0260995,CG42596,2RHet,1849561,1974073,+,1847561,1976073,7,1881246;1889345;1890003;1893386;1912355;1925738;1975834,8.0e-12;8.0e-12;2.5e-11;2.5e-11;2.5e-11;2.5e-11;6.6e-11
FBgn0058461,CR40461,2RHet,2387787,2388177,-,2385787,2390177,0,,
FBgn0263766,CR43683,2L,9961018,9962104,+,9959018,9964104,0,,
FBgn0261992,CG42810,2L,13459773,13460183,+,13457773,13462183,0,,
FBgn0010583,dock,2L,825969,833241,+,823969,835241,1,827232,2.5e-11
FBgn0040519,CG15219,2L,22104891,22105512,-,22102891,22107512,1,22105295,8.0e-12
FBgn0032906,RPA2,2L,20924975,20926147,-,20922975,20928147,1,20924126,8.0e-12
FBgn0031971,Sirup,2L,7998934,7999743,+,7996934,8001743,1,7998173,8.0e-12
FBgn0031321,Tgt,2L,1184065,1185698,+,1182065,1187698,1,1184602,2.5e-11
FBgn0262425,mir-288,2L,20618366,20618462,-,20616366,20620462,0,,
FBgn0040725,CG13946,2L,776536,776892,+,774536,778892,0,,
FBgn0053315,CR33315,2L,19074992,19075412,-,19072992,19077412,0,,
FBgn0032775,CG17544,2L,19390369,19398493,-,19388369,19400493,0,,
FBgn0031885,Mnn1,2L,7056301,7063586,+,7054301,7065586,0,,
FBgn0031464,Duox,2L,2815970,2830248,-,2813970,2832248,0,,
FBgn0020503,CLIP-190,2L,17384700,17409698,+,17382700,17411698,1,17394305,6.6e-11
FBgn0032160,CG4598,2L,9918618,9920120,+,9916618,9922120,1,9919275,8.0e-12
FBgn0015803,RtGEF,2L,20350434,20365254,+,20348434,20367254,1,20364049,2.5e-11
FBgn0028979,tio,2L,22019208,22025734,+,22017208,22027734,0,,
FBgn0032462,CG16800,2L,12966590,12967810,+,12964590,12969810,1,12968365,8.0e-12
FBgn0031420,CG9866,2L,2375841,2380506,+,2373841,2382506,0,,
FBgn0051717,CG31717,2L,10250737,10251714,+,10248737,10253714,0,,
FBgn0032127,CG13114,2L,9545811,9547424,+,9543811,9549424,0,,
FBgn0053869,His4:CG33869,2L,21534085,21534610,-,21532085,21536610,0,,
FBgn0031751,CG9016,2L,5922876,5923653,-,5920876,5925653,0,,
FBgn0031488,CG17265,2L,2999286,3016069,+,2997286,3018069,0,,
FBgn0001142,Gs1,2L,132077,134472,+,130077,136472,1,134072,1.7e-11
FBgn0032670,CG5783,2L,18156043,18157162,+,18154043,18159162,0,,
FBgn0032402,CG14945,2L,12049418,12052049,+,12047418,12054049,1,12050560,2.5e-11
FBgn0004419,me31B,2L,10239341,10242172,+,10237341,10244172,1,10241950,8.0e-12
FBgn0263869,CR43716,2L,4582250,4582968,-,4580250,4584968,1,4582070,8.0e-12
FBgn0053892,His2B:CG33892,2L,21477461,21478055,-,21475461,21480055,0,,
FBgn0067312,CheB38a,2L,20817815,20818532,-,20815815,20820532,1,20818240,1.7e-11
FBgn0032196,CG5708,2L,10224664,10226808,-,10222664,10228808,1,10224832,1.7e-11
FBgn0053879,His4:CG33879,2L,21509422,21509834,-,21507422,21511834,0,,
FBgn0031390,tho2,2L,2137350,2145187,-,2135350,2147187,0,,
FBgn0263079,CG43338,2L,18666892,18671187,-,18664892,18673187,0,,
FBgn0032646,CG6412,2L,17499268,17501106,-,17497268,17503106,2,17498217;17502947,1.7e-11;2.5e-11
FBgn0053729,snmRNA:430:CR33729,2L,21453073,21453108,+,21451073,21455108,0,,
FBgn0029173,fu2,2L,8464488,8466694,+,8462488,8468694,1,8465627,2.5e-11
FBgn0021874,Nle,2L,566366,568121,-,564366,570121,1,564577,2.5e-11
FBgn0003930,snRNA:U4:39B,2L,21215036,21215178,-,21213036,21217178,0,,
FBgn0031632,CG15628,2L,4821774,4828945,+,4819774,4830945,0,,
FBgn0083031,snoRNA:Psi18S-525h,2L,20421304,20421438,+,20419304,20423438,0,,
FBgn0040510,ACXA,2L,12921091,12925453,+,12919091,12927453,0,,
FBgn0017457,U2af38,2L,292959,294681,-,290959,296681,1,291582,1.7e-11
FBgn0000442,Pkg21D,2L,786153,790798,-,784153,792798,1,791122,8.0e-12
FBgn0000053,ade3,2L,7014623,7023940,-,7012623,7025940,0,,
FBgn0032365,CG14929,2L,11519832,11521444,+,11517832,11523444,0,,
FBgn0032311,CG12517,2L,10870167,10870722,+,10868167,10872722,0,,
FBgn0031902,Wnt6,2L,7333714,7352542,+,7331714,7354542,1,7349997,2.5e-11
FBgn0031554,CG15418,2L,3621110,3621681,-,3619110,3623681,1,3623137,1.7e-11
FBgn0259959,Sfp26Ac,2L,5884350,5884774,-,5882350,5886774,0,,
FBgn0263049,let-7-C,2L,18455717,18473132,+,18453717,18475132,0,,
FBgn0051898,CG31898,2L,8400457,8401477,+,8398457,8403477,1,8401411,6.6e-11
FBgn0031701,TotM,2L,5329857,5330464,+,5327857,5332464,0,,
FBgn0265153,CR44222,2L,223519,224708,+,221519,226708,0,,
FBgn0264087,Slob,2L,7642005,7675078,-,7640005,7677078,1,7658831,6.6e-11
FBgn0264873,CR44064,2L,1500830,1504204,+,1498830,1506204,0,,
FBgn0053809,His3:CG33809,2L,21435299,21435827,+,21433299,21437827,0,,
FBgn0041627,Ku80,2L,15768630,15771159,-,15766630,15773159,0,,
FBgn0040070,Trx-2,2L,9613166,9616404,+,9611166,9618404,0,,
FBgn0032295,CG12299,2L,10737345,10740762,+,10735345,10742762,0,,
FBgn0002931,net,2L,82421,87387,-,80421,89387,1,87539,6.6e-11
FBgn0032704,Jwa,2L,18704570,18705703,-,18702570,18707703,0,,
FBgn0032587,CG5953,2L,16508078,16532877,-,16506078,16534877,1,16532474,8.0e-12
FBgn0083970,CG34134,2L,8190297,8190781,-,8188297,8192781,1,8189685,8.0e-12
FBgn0259683,Ir40a,2L,22189526,22214376,-,22187526,22216376,2,22191547;22191676,1.7e-11;1.7e-11
FBgn0025683,CG3164,2L,122624,130791,-,120624,132791,0,,
FBgn0263200,Galt,2L,6666264,6668033,-,6664264,6670033,0,,
FBgn0261804,CG42750,2L,18160421,18275770,-,18158421,18277770,3,18170158;18195022;18195714,8.0e-12;2.5e-11;2.5e-11
FBgn0260428,CG42523,2L,4762937,4763951,+,4760937,4765951,2,4761001;4765043,2.5e-11;2.5e-11
FBgn0032856,CG16798,2L,20376981,20382356,-,20374981,20384356,0,,
FBgn0001986,l(2)35Df,2L,15752253,15755905,+,15750253,15757905,0,,
FBgn0265607,beat-IIIa,2L,17131024,17173118,+,17129024,17175118,1,17163745,1.7e-11
FBgn0027550,CG6495,2L,10761116,10764971,+,10759116,10766971,0,,
FBgn0265816,CR44605,2L,18003368,18003616,+,18001368,18005616,0,,
FBgn0051615,His-Psi:CR31615,2L,21404963,21405361,+,21402963,21407361,0,,
FBgn0019686,lok,2L,20061477,20064381,+,20059477,20066381,1,20063276,1.7e-11
FBgn0000287,salr,2L,11358873,11373636,+,11356873,11375636,1,11368983,2.5e-11
FBgn0264441,CR43859,2L,11205528,11206092,-,11203528,11208092,0,,
FBgn0053870,His2B:CG33870,2L,21532461,21533055,-,21530461,21535055,0,,
FBgn0032988,Tif-IA,2L,22249876,22258260,+,22247876,22260260,1,22254101,8.0e-12
FBgn0031987,CG12375,2L,8125668,8126890,-,8123668,8128890,1,8124089,1.7e-11
FBgn0002936,ninaA,2L,877302,878270,+,875302,880270,0,,
FBgn0032618,CG31743,2L,16879517,16886319,+,16877517,16888319,1,16883150,2.5e-11
FBgn0000351,cort,2L,6674682,6676635,-,6672682,6678635,0,,
FBgn0031881,CG3476,2L,7027526,7028959,+,7025526,7030959,0,,
FBgn0032790,CG10194,2L,19488682,19490104,-,19486682,19492104,0,,
FBgn0261628,CG42711,2L,13930593,13931224,-,13928593,13933224,0,,
FBgn0019932,SamDC,2L,10339457,10341503,+,10337457,10343503,0,,
FBgn0005779,PpD6,2L,3109672,3110998,+,3107672,3112998,0,,
FBgn0032032,CG17294,2L,8377035,8378206,+,8375035,8380206,0,,
FBgn0027559,Pol32,2L,15254819,15256304,-,15252819,15258304,0,,
FBgn0003502,Btk29A,2L,8258755,8301079,-,8256755,8303079,3,8275537;8290096;8296008,2.5e-11;2.5e-11;1.7e-11
FBgn0085191,CG34162,2L,11531820,11533756,+,11529820,11535756,1,11534119,2.5e-11
FBgn0031426,CG18641,2L,2410624,2415322,-,2408624,2417322,0,,
FBgn0026324,Taf10b,2L,2767286,2767845,-,2765286,2769845,0,,
FBgn0265674,CR44481,2L,11665241,11665810,+,11663241,11667810,0,,
FBgn0265579,CG44406,2L,16981867,16982301,-,16979867,16984301,0,,
FBgn0031628,CG3294,2L,4794549,4796581,+,4792549,4798581,0,,
FBgn0031545,CG3213,2L,3517273,3519651,-,3515273,3521651,0,,
FBgn0003934,snRNA:U5:23D,2L,3048701,3048831,+,3046701,3050831,1,3047330,1.7e-11
FBgn0054043,CG34043,2L,10278951,10280872,-,10276951,10282872,0,,
FBgn0051864,Qtzl,2L,11995740,11996723,+,11993740,11998723,0,,
FBgn0031968,CG7231,2L,7983946,7986785,+,7981946,7988785,1,7984747,6.6e-11
FBgn0032359,Osi21,2L,11284327,11285706,-,11282327,11287706,0,,
FBgn0032450,CG5776,2L,12700949,12704451,-,12698949,12706451,0,,
FBgn0262272,mir-1002,2L,13747609,13747697,-,13745609,13749697,1,13747662,2.5e-11
FBgn0031573,CG3407,2L,3810801,3813410,-,3808801,3815410,0,,
FBgn0053922,CG33922,2L,1343443,1344171,-,1341443,1346171,0,,
FBgn0051820,CG31820,2L,16005789,16006279,-,16003789,16008279,0,,
FBgn0010407,Ror,2L,10251843,10254686,+,10249843,10256686,0,,
FBgn0051933,CG31933,2L,1821256,1823331,-,1819256,1825331,0,,
FBgn0261790,SmE,2L,7884932,7885425,-,7882932,7887425,0,,
FBgn0032754,CG10700,2L,19077276,19079028,-,19075276,19081028,0,,
FBgn0263321,CG43402,2L,1442726,1443316,+,1440726,1445316,0,,
FBgn0031710,CG7371,2L,5521281,5523877,-,5519281,5525877,0,,
FBgn0265996,CR44771,2L,15159508,15160126,-,15157508,15162126,0,,
FBgn0020270,mre11,2L,11282090,11284335,+,11280090,11286335,0,,
FBgn0262191,mir-2497,2L,16678240,16678335,+,16676240,16680335,0,,
FBgn0032818,CG10628,2L,19757243,19758613,-,19755243,19760613,0,,
FBgn0032135,GlcAT-S,2L,9616469,9623109,+,9614469,9625109,2,9621483;9622862,8.0e-12;6.6e-11
FBgn0051892,tRNA:CR31892,2L,8482084,8482155,-,8480084,8484155,1,8483985,2.5e-11
FBgn0262213,mir-2495,2L,5068570,5068684,+,5066570,5070684,0,,
FBgn0031356,CG17660,2L,1707132,1710421,-,1705132,1712421,1,1709956,1.7e-11
FBgn0051660,pog,2L,4852864,4876792,+,4850864,4878792,1,4856216,1.7e-11
FBgn0031939,CG13796,2L,7727150,7732668,-,7725150,7734668,1,7731223,8.0e-12
FBgn0031245,CG3625,2L,283384,291751,-,281384,293751,1,291582,1.7e-11
FBgn0031292,CG15824,2L,878181,885141,-,876181,887141,0,,
FBgn0002985,odd,2L,3604224,3606756,-,3602224,3608756,0,,
FBgn0032001,CG8360,2L,8212959,8214135,+,8210959,8216135,0,,
FBgn0010612,l(2)06225,2L,10975522,10976399,-,10973522,10978399,0,,
FBgn0063392,snoRNA:U14:30Ea,2L,9894205,9894285,-,9892205,9896285,0,,
FBgn0032208,CG5604,2L,10281943,10292278,-,10279943,10294278,0,,
FBgn0031305,Iris,2L,1132332,1134098,-,1130332,1136098,0,,
FBgn0032689,CG10413,2L,18599749,18605021,-,18597749,18607021,1,18599667,2.5e-11
FBgn0031454,CG9960,2L,2758427,2759677,-,2756427,2761677,0,,
FBgn0085207,CG34178,2L,4433908,4435057,+,4431908,4437057,0,,
FBgn0032727,CG10623,2L,18955481,18957169,-,18953481,18959169,0,,
FBgn0025115,Acyp,2L,13912139,13912596,+,13910139,13914596,0,,
FBgn0002121,l(2)gl,2L,9839,21376,-,7839,23376,2,18252;21057,8.0e-12;8.0e-12
FBgn0032940,Mio,2L,21286078,21310050,-,21284078,21312050,3,21291796;21296794;21298358,1.7e-11;2.5e-11;1.7e-11
FBgn0032303,CG6508,2L,10819107,10820485,+,10817107,10822485,0,,
FBgn0026577,CG8677,2L,21221312,21231694,+,21219312,21233694,0,,
FBgn0085210,CG34181,2L,9367640,9368434,+,9365640,9370434,1,9367459,1.7e-11
FBgn0261266,zuc,2L,11988735,11989882,-,11986735,11991882,0,,
FBgn0053888,His2B:CG33888,2L,21487655,21488249,-,21485655,21490249,0,,
FBgn0051874,CG31874,2L,10189820,10191496,-,10187820,10193496,0,,
FBgn0011863,tRNA:G3:35Bb,2L,14518307,14518377,-,14516307,14520377,0,,
FBgn0085212,CG34183,2L,9890061,9890772,-,9888061,9892772,0,,
FBgn0065096,snmRNA:359,2L,19403535,19403568,-,19401535,19405568,0,,
FBgn0014906,Hydr2,2L,3163645,3169462,+,3161645,3171462,0,,
FBgn0031677,CG14036,2L,5054579,5055016,-,5052579,5057016,0,,
FBgn0031822,CG9548,2L,6490155,6490843,-,6488155,6492843,0,,
FBgn0262275,mir-2280,2L,1831685,1831799,-,1829685,1833799,0,,
FBgn0264370,CR43822,2L,3575350,3575806,+,3573350,3577806,0,,
FBgn0063389,snoRNA:Me18S-G1620,2L,9894477,9894544,-,9892477,9896544,0,,
FBgn0024230,Hs2st,2L,19442833,19444761,-,19440833,19446761,1,19445362,1.7e-11
FBgn0264264,CR43764,2L,15295636,15297413,-,15293636,15299413,0,,
FBgn0259989,CG42486,2L,11843137,11844012,+,11841137,11846012,0,,
FBgn0264345,CR43801,2L,6074251,6074796,-,6072251,6076796,0,,
FBgn0264950,CR44119,2L,8201557,8205298,+,8199557,8207298,0,,
FBgn0031228,CG11455,2L,114726,156030,+,112726,158030,3,134072;138756;155598,1.7e-11;6.6e-11;1.7e-11
FBgn0032863,Cdc23,2L,20459342,20461729,+,20457342,20463729,0,,
FBgn0032115,CG4438,2L,9396999,9397988,-,9394999,9399988,0,,
FBgn0051710,CG31710,2L,9702442,9705954,-,9700442,9707954,0,,
FBgn0032047,CG13088,2L,8488981,8490546,+,8486981,8492546,0,,
FBgn0032335,CG14915,2L,11071027,11071532,+,11069027,11073532,0,,
FBgn0005617,msl-1,2L,18683720,18688800,-,18681720,18690800,0,,
FBgn0032049,Bace,2L,8495108,8496307,-,8493108,8498307,0,,
FBgn0265942,CR44729,2L,14273721,14274454,-,14271721,14276454,0,,
FBgn0032491,CG16815,2L,13229832,13230612,+,13227832,13232612,0,,
FBgn0262449,mir-2b-2,2L,19570182,19570264,-,19568182,19572264,0,,
FBgn0046212,CG15841,2L,11591339,11591678,-,11589339,11593678,0,,
FBgn0031717,Oscillin,2L,5547086,5549614,+,5545086,5551614,0,,
FBgn0261831,CG42763,2L,8144391,8145107,-,8142391,8147107,0,,
FBgn0031515,CG9664,2L,3291245,3294706,-,3289245,3296706,0,,
FBgn0028936,NimB5,2L,13970529,13972173,+,13968529,13974173,0,,
FBgn0044811,TotF,2L,19911815,19912377,-,19909815,19914377,0,,
FBgn0032445,CG6153,2L,12692993,12693939,+,12690993,12695939,0,,
FBgn0003961,Uro,2L,7780085,7781415,+,7778085,7783415,0,,
FBgn0015299,Ssb-c31a,2L,8211347,8211938,+,8209347,8213938,0,,
FBgn0262353,CR43051,2L,12507928,12508504,+,12505928,12510504,0,,
FBgn0053644,CG33644,2L,13532085,13532636,+,13530085,13534636,0,,
FBgn0032140,CG13117,2L,9736645,9737795,+,9734645,9739795,0,,
FBgn0260451,CG14042,2L,5038053,5040818,+,5036053,5042818,0,,
FBgn0031304,CG4552,2L,1129316,1132411,+,1127316,1134411,0,,
FBgn0053834,His1:CG33834,2L,21486496,21487518,+,21484496,21489518,0,,
FBgn0031721,CG14017,2L,5553897,5555137,+,5551897,5557137,0,,
FBgn0031395,CG10874,2L,2189913,2192386,-,2187913,2194386,0,,
FBgn0031263,CG2789,2L,559612,560523,+,557612,562523,0,,
FBgn0026438,Eaat2,2L,737212,744395,-,735212,746395,0,,
FBgn0011239,ms(2)35Ci,2L,15292468,15294136,+,15290468,15296136,0,,
FBgn0042126,CG18788,2L,12034190,12036131,+,12032190,12038131,0,,
FBgn0032633,Lrch,2L,17367511,17384115,-,17365511,17386115,0,,
FBgn0010265,RpS13,2L,8363699,8364609,-,8361699,8366609,0,,
FBgn0265828,CR44617,2L,9119582,9120040,+,9117582,9122040,0,,
FBgn0250907,Cht3,2L,22892306,22918647,-,22890306,22920647,1,22891910,1.7e-11
FBgn0031737,obst-E,2L,5762553,5766142,-,5760553,5768142,0,,
FBgn0261606,RpL27A,2L,4457186,4458364,-,4455186,4460364,0,,
FBgn0032626,CG12620,2L,17087641,17089186,+,17085641,17091186,0,,
FBgn0028433,Ggamma30A,2L,9256563,9302494,+,9254563,9304494,2,9255684;9271672,1.7e-11;8.0e-12
FBgn0264544,CG43923,2L,15675582,15676102,-,15673582,15678102,0,,
FBgn0031950,Herp,2L,7796308,7799846,-,7794308,7801846,0,,
FBgn0016978,snRNP-U1-70K,2L,6968711,6971737,-,6966711,6973737,0,,
FBgn0031213,galectin,2L,71757,76211,+,69757,78211,0,,
FBgn0264365,CR43817,2L,18805445,18806205,-,18803445,18808205,2,18804214;18806031,6.6e-11;2.5e-11
FBgn0046113,GluRIIC,2L,914086,917805,+,912086,919805,1,916350,8.0e-12
FBgn0032421,crok,2L,12172981,12174091,+,12170981,12176091,0,,
FBgn0051679,Tengl3,2L,2237076,2238251,-,2235076,2240251,0,,
FBgn0031483,CG9641,2L,2974859,2976859,-,2972859,2978859,0,,
FBgn0265813,CR44602,2L,15809342,15810319,-,15807342,15812319,0,,
FBgn0263866,CR43713,2L,5431842,5432626,+,5429842,5434626,0,,
FBgn0021761,Nup154,2L,11004820,11010921,+,11002820,11012921,0,,
FBgn0262000,CG42818,2L,16241939,16245559,+,16239939,16247559,0,,
FBgn0002044,swm,2L,19493251,19497978,+,19491251,19499978,0,,
FBgn0265138,Gr22c,2L,1790617,1791823,-,1788617,1793823,0,,
FBgn0264886,CR44077,2L,3817724,3818534,+,3815724,3820534,0,,
FBgn0031501,CG17261,2L,3042551,3043593,+,3040551,3045593,0,,
FBgn0264362,CG43814,2L,18804491,18805347,-,18802491,18807347,2,18804214;18806031,6.6e-11;2.5e-11
FBgn0032966,CG1421,2L,21903062,21903739,+,21901062,21905739,0,,
FBgn0053196,dp,2L,4477462,4614300,-,4475462,4616300,3,4483879;4571033;4582070,6.6e-11;1.7e-11;8.0e-12
FBgn0032420,CG6583,2L,12171204,12172586,-,12169204,12174586,0,,
FBgn0028694,Rpn11,2L,5058404,5059790,-,5056404,5061790,0,,
FBgn0032551,CG18636,2L,14783342,14784586,-,14781342,14786586,0,,
FBgn0028990,Spn27A,2L,6671065,6673347,-,6669065,6675347,0,,
FBgn0032022,CG14275,2L,8327456,8332911,+,8325456,8334911,2,8326533;8331311,2.5e-11;2.5e-11
FBgn0028425,JhI-21,2L,12051755,12055985,-,12049755,12057985,1,12050560,2.5e-11
FBgn0003607,Su(var)205,2L,8209626,8211122,-,8207626,8213122,0,,
FBgn0265369,CR44310,2L,3616296,3617619,+,3614296,3619619,0,,
FBgn0051648,CG31648,2L,5526962,5527854,+,5524962,5529854,0,,
FBgn0263091,CR43359,2L,22340622,22341291,+,22338622,22343291,0,,
FBgn0032478,CG5458,2L,13183450,13184875,+,13181450,13186875,0,,
FBgn0031851,CG11188,2L,6717625,6719389,+,6715625,6721389,0,,
FBgn0031611,CG17840,2L,4465174,4468022,+,4463174,4470022,0,,
FBgn0031559,CG3513,2L,3692699,3693182,-,3690699,3695182,0,,
FBgn0053129,CG33129,2L,10964903,10970275,-,10962903,10972275,0,,
FBgn0264884,CR44075,2L,1872693,1873511,+,1870693,1875511,0,,
FBgn0028857,CG12448,2L,15941441,15942854,+,15939441,15944854,1,15939500,2.5e-11
FBgn0032723,ssp3,2L,18916347,18943960,-,18914347,18945960,2,18939889;18944243,2.5e-11;1.7e-11
FBgn0032143,CG4017,2L,9767058,9768727,+,9765058,9770727,0,,
FBgn0028867,CR15280,2L,14781715,14783110,-,14779715,14785110,0,,
FBgn0031690,CG7742,2L,5212395,5214895,-,5210395,5216895,1,5210621,2.5e-11
FBgn0264875,CR44066,2L,2186975,2187970,-,2184975,2189970,0,,
FBgn0053857,His3:CG33857,2L,21524952,21525480,+,21522952,21527480,0,,
FBgn0265544,CR44394,2L,17175763,17176385,+,17173763,17178385,0,,
FBgn0265452,CR44352,2L,9025634,9031836,-,9023634,9033836,0,,
FBgn0053303,CG33303,2L,10373369,10375757,-,10371369,10377757,1,10375356,6.6e-11
FBgn0032205,CG4957,2L,10268872,10269904,+,10266872,10271904,0,,
FBgn0024314,Plap,2L,1167172,1170079,-,1165172,1172079,0,,
FBgn0032170,CG4658,2L,9957287,9960168,+,9955287,9962168,0,,
FBgn0003732,Top2,2L,19447365,19453490,-,19445365,19455490,1,19448539,6.6e-11
FBgn0263561,mir-4984,2L,8141540,8141662,-,8139540,8143662,0,,
FBgn0025608,Faf,2L,18706010,18708688,-,18704010,18710688,0,,
FBgn0053903,His4:CG33903,2L,21439589,21440001,-,21437589,21442001,0,,
